,Time [s],Thrust [lb],Lift [lb],Drag [lb],Power [hp],Weight [lb],Percent [%],Velocity [knots],Altitude [ft],Range [nmi],RPM [rev/min],Pitch [deg],AOA [deg]
0,357.73,802.6137210594795,2614.0862274409183,55.913212724446076,124830.47762702136,2540.8389345608753,96.82039478706108,66.0453898226869,-0.13229220090608307,7.848085303067269,2700,0.0,3.0
1,357.74,802.6137210594795,2614.0862274409183,55.913212724446076,124830.47762702136,2540.8389345608753,96.82039478706108,66.10132829872316,-0.13229220090608307,7.848268762483444,2700,0.0015002588594154715,3.0
2,357.75,802.1881390290148,2618.516208869182,56.00008086014427,124830.47762702136,2540.838666060671,96.82030155768392,66.15720169246107,-0.13229220090608307,7.848452454976507,2700,0.003084607667172729,3.0
3,357.76,801.7624731593257,2622.9447767505926,56.08655034043796,124830.47744574121,2540.8383975498145,96.82020832830676,66.21316175586622,-0.13224838129363328,7.848635836624999,2700,0.004556798200353724,3.0
4,357.77000000000004,801.3355697079005,2627.3839690292225,56.17368793824631,124830.477503258,2540.83812905299,96.82011509892972,66.26907876183795,-0.1322622844264365,7.848819373924198,2700,0.006085169050351877,3.0
5,357.78000000000003,800.9084154065745,2631.8234926348987,56.26060026280793,124830.47745000404,2540.8378605496555,96.82002186955263,66.32495183367861,-0.13224941171221594,7.8490030661565875,2700,0.007669415066308922,3.0
6,357.79,800.4810181294387,2636.2632687006558,56.34723079362815,124830.47725884098,2540.837592038219,96.81992864017558,66.3807815883139,-0.13220320317018633,7.849186913892133,2700,0.009309695493856395,3.0
7,357.8,800.0533746477582,2640.7033378683423,56.43362159163351,124830.47695104888,2540.837323519928,96.81983541079865,66.43656782993317,-0.13212880269534547,7.849370917014044,2700,0.01100592201328346,3.0
8,357.81,799.6254877772228,2645.143675749858,56.51976193487693,124830.47652186794,2540.837054994506,96.81974218142193,66.49231037971194,-0.13202505970902484,7.849555075398334,2700,0.01275800392872959,3.0
9,357.82,799.197360210434,2649.584259265684,56.605641362448964,124830.47596659417,2540.836786461674,96.81964895204548,66.54800905008948,-0.1318908371994315,7.8497393889248075,2700,0.014565852150118805,3.0
10,357.83000000000004,798.7689947133414,2654.025064597147,56.691249461194225,124830.47528048175,2540.836517921154,96.8195557226694,66.60366365483199,-0.13172498792851106,7.849923857472653,2700,0.016429377596570982,3.0
11,357.84000000000003,798.3403940483696,2658.4660679876542,56.776575980956906,124830.47445878011,2540.8362493726677,96.81946249329376,66.65927400899197,-0.13152636362459758,7.850108480920572,2700,0.01834849124077732,3.0
12,357.85,797.9115609746586,2662.907245739966,56.8616108603042,124830.47349673546,2540.8359808159366,96.81936926391865,66.71483992891217,-0.1312938151236852,7.850293259146725,2700,0.02032310409071512,3.0
13,357.86,797.4824982479423,2667.348574217075,56.946344252293656,124830.47238958953,2540.8357122506804,96.81927603454416,66.77036123221424,-0.13102619231968496,7.850478192028737,2700,0.02235312719068814,3.0
14,357.87,797.0532086205642,2671.790029841796,57.03076655154759,124830.47113258083,2540.8354436766203,96.81918280517039,66.825837737785,-0.13072234417575138,7.850663279443698,2700,0.02443847162227249,3.0
15,357.88,796.6236948414946,2676.2315890961977,57.11486842257853,124830.46972094345,2540.8351750934753,96.8190895757974,66.88126926576092,-0.13038111873347188,7.850848521268171,2700,0.026579048505275694,3.0
16,357.89000000000004,796.1939596563805,2680.6732285208923,57.198640829104924,124830.46814990832,2540.8349065009666,96.81899634642537,66.93665563751075,-0.1300013631227739,7.851033917378187,2700,0.028774768998679798,3.0
17,357.90000000000003,795.7640058075929,2685.114924714128,57.28207506478017,124830.46641470207,2540.834637898815,96.81890311705433,66.9919966756159,-0.12958192357182285,7.8512194676492575,2700,0.03102554430156634,3.0
18,357.91,795.3338360343096,2689.5566543307373,57.365162784822765,124830.46451054802,2540.8343692867365,96.81880988768444,67.04729220384864,-0.12912164541691382,7.851405171956371,2700,0.03333128565402247,3.0
19,357.92,794.9034530726035,2693.998394080883,57.44789603904467,124830.46243266584,2540.834100664453,96.81871665831576,67.10254204714833,-0.12861937311235647,7.851591030173997,2700,0.03569190433802512,3.0
20,357.93,794.4728596555524,2698.4401207286323,57.53026730577323,124830.46017627123,2540.833832031685,96.81862342894843,67.15774603159498,-0.12807395024035229,7.851777042176089,2700,0.03810731167830272,3.0
21,357.94,794.042058513376,2702.881811090318,57.612269527587124,124830.45773657676,2540.8335633881497,96.81853019958257,67.2129039843805,-0.127484219520865,7.851963207836088,2700,0.040577419043171116,3.0
22,357.95000000000005,793.6110523735823,2707.3234420326876,57.69389614751829,124830.45510879117,2540.833294733564,96.81843697021827,67.26801573377756,-0.12684902282148316,7.852149527026929,2700,0.04310213784534275,3.0
23,357.96000000000004,793.1798439611454,2711.7649904708637,57.77514114714718,124830.45228811997,2540.833026067651,96.81834374085568,67.32308110910569,-0.12616720116727592,7.852335999621032,2700,0.0456813795427067,3.0
24,357.97,792.7484359986969,2716.20643336606,57.85599908564638,124830.44926976495,2540.832757390125,96.81825051149492,67.37809994069475,-0.12543759475064134,7.8525226254903195,2700,0.048315055639077044,3.0
