,Time [s],Thrust [lb],Lift [lb],Drag [lb],Power [hp],Weight [lb],Percent [%],Velocity [knots],Altitude [ft],Range [nmi],RPM [rev/min],Ground Roll [ft],AOA [deg]
0,330.78,1.099667779381862e-05,2379.920490752107,166.77316896827128,0.00014853109094763634,2541.126733522518,96.92033629963058,68.41723970492035,0.0,7.552572495561154,1,1189,0.0
1,330.78499999999997,1.099667779381862e-05,3438.036504959077,166.77316896827128,0.00014853109094763634,2541.126733522518,96.92033629963058,68.40472901154018,0.0,7.5526675195051896,1,1189,0.0
2,330.78999999999996,1.1030033268264397e-05,3436.779269556197,166.71399658305126,0.00014853109094763634,2541.126733522518,96.92033629963058,68.39222497649547,0.0,7.55276251738528,1,1189,0.0
3,330.79499999999996,1.1063425702931057e-05,3435.522933002559,166.65486589255107,0.00014853109094763634,2541.126733522518,96.92033629963058,68.37971206236692,0.0,7.552857550021149,1,1189,0.0
4,330.79999999999995,1.109689660558316e-05,3434.2659342450847,166.59570342420378,0.00014853109094763634,2541.126733522518,96.92033629963058,68.36720359098906,0.0,7.552952565267439,1,1189,0.0
5,330.80499999999995,1.1130410370649966e-05,3433.009611665805,166.53657217073115,0.00014853109094763634,2541.126733522518,96.92033629963058,68.35469955221285,0.0,7.55304756316089,1,1189,0.0
6,330.80999999999995,1.1163966967065265e-05,3431.7539640007512,166.47747207338327,0.00014853109094763634,2541.126733522518,96.92033629963058,68.34219995275565,0.0,7.553142543672203,1,1189,0.0
7,330.815,1.1197566318588681e-05,3430.498991680041,166.41840315315682,0.00014853109094763634,2541.126733522518,96.92033629963058,68.32970479027115,0.0,7.553237506807564,1,1189,0.0
8,330.82,1.1231208373305018e-05,3429.244694223631,166.35936538815903,0.00014853109094763634,2541.126733522518,96.92033629963058,68.31721406242428,0.0,7.5533324525731205,1,1189,0.0
9,330.825,1.1264893079329498e-05,3427.991071152864,166.30035875664032,0.00014853109094763634,2541.126733522518,96.92033629963058,68.30472776687542,0.0,7.55342738097504,1,1189,0.0
10,330.83,1.1298620384853101e-05,3426.738121988885,166.24138323677846,0.00014853109094763634,2541.126733522518,96.92033629963058,68.29224590128658,0.0,7.553522292019486,1,1189,0.0
