NACA 64A008  a=0.8: MADE BY DesignFOIL!
1.000000      0.000180
0.989899      0.001028
0.979798      0.001877
0.969697      0.002725
0.959596      0.003574
0.949495      0.004422
0.939394      0.005271
0.929293      0.006119
0.919192      0.006968
0.909091      0.007816
0.898990      0.008665
0.888889      0.009513
0.878788      0.010362
0.868687      0.011210
0.858586      0.012059
0.848485      0.012907
0.838384      0.013756
0.828283      0.014605
0.818182      0.015453
0.808081      0.016302
0.797980      0.017150
0.787879      0.018002
0.777778      0.018852
0.767677      0.019699
0.757576      0.020541
0.747475      0.021379
0.737374      0.022209
0.727273      0.023033
0.717172      0.023848
0.707071      0.024653
0.696970      0.025447
0.686869      0.026229
0.676768      0.026999
0.666667      0.027755
0.656566      0.028496
0.646465      0.029222
0.636364      0.029931
0.626263      0.030623
0.616162      0.031298
0.606061      0.031955
0.595960      0.032593
0.585859      0.033212
0.575758      0.033811
0.565657      0.034389
0.555556      0.034944
0.545455      0.035477
0.535354      0.035987
0.525253      0.036472
0.515152      0.036931
0.505051      0.037364
0.494950      0.037770
0.484849      0.038148
0.474748      0.038496
0.464647      0.038812
0.454546      0.039094
0.444444      0.039341
0.434343      0.039552
0.424242      0.039725
0.414141      0.039860
0.404040      0.039954
0.393939      0.039999
0.383838      0.039998
0.373737      0.039957
0.363636      0.039880
0.353535      0.039767
0.343434      0.039626
0.333333      0.039455
0.323232      0.039251
0.313131      0.039015
0.303030      0.038747
0.292929      0.038447
0.282828      0.038115
0.272727      0.037751
0.262626      0.037353
0.252525      0.036923
0.242424      0.036463
0.232323      0.035969
0.222222      0.035439
0.212121      0.034872
0.202020      0.034266
0.191919      0.033620
0.181818      0.032932
0.171717      0.032200
0.161616      0.031423
0.151515      0.030598
0.141414      0.029740
0.131313      0.028830
0.121212      0.027859
0.111111      0.026819
0.101010      0.025706
0.090909      0.024517
0.080808      0.023234
0.070707      0.021859
0.060606      0.020372
0.050505      0.018718
0.040404      0.016941
0.030303      0.014826
0.020202      0.012306
0.010101      0.008930
0.000000      0.000000
0.010101      -0.008930
0.020202      -0.012306
0.030303      -0.014826
0.040404      -0.016941
0.050505      -0.018718
0.060606      -0.020372
0.070707      -0.021859
0.080808      -0.023234
0.090909      -0.024517
0.101010      -0.025706
0.111111      -0.026819
0.121212      -0.027859
0.131313      -0.028830
0.141414      -0.029740
0.151515      -0.030598
0.161616      -0.031423
0.171717      -0.032200
0.181818      -0.032932
0.191919      -0.033620
0.202020      -0.034266
0.212121      -0.034872
0.222222      -0.035439
0.232323      -0.035969
0.242424      -0.036463
0.252525      -0.036923
0.262626      -0.037353
0.272727      -0.037751
0.282828      -0.038115
0.292929      -0.038447
0.303030      -0.038747
0.313131      -0.039015
0.323232      -0.039251
0.333333      -0.039455
0.343434      -0.039626
0.353535      -0.039767
0.363636      -0.039880
0.373737      -0.039957
0.383838      -0.039998
0.393939      -0.039999
0.404040      -0.039954
0.414141      -0.039860
0.424242      -0.039725
0.434343      -0.039552
0.444444      -0.039341
0.454546      -0.039094
0.464647      -0.038812
0.474748      -0.038496
0.484849      -0.038148
0.494950      -0.037770
0.505051      -0.037364
0.515152      -0.036931
0.525253      -0.036472
0.535354      -0.035987
0.545455      -0.035477
0.555556      -0.034944
0.565657      -0.034389
0.575758      -0.033811
0.585859      -0.033212
0.595960      -0.032593
0.606061      -0.031955
0.616162      -0.031298
0.626263      -0.030623
0.636364      -0.029931
0.646465      -0.029222
0.656566      -0.028496
0.666667      -0.027755
0.676768      -0.026999
0.686869      -0.026229
0.696970      -0.025447
0.707071      -0.024653
0.717172      -0.023848
0.727273      -0.023033
0.737374      -0.022209
0.747475      -0.021379
0.757576      -0.020541
0.767677      -0.019699
0.777778      -0.018852
0.787879      -0.018002
0.797980      -0.017150
0.808081      -0.016302
0.818182      -0.015453
0.828283      -0.014605
0.838384      -0.013756
0.848485      -0.012907
0.858586      -0.012059
0.868687      -0.011210
0.878788      -0.010362
0.888889      -0.009513
0.898990      -0.008665
0.909091      -0.007816
0.919192      -0.006968
0.929293      -0.006119
0.939394      -0.005271
0.949495      -0.004422
0.959596      -0.003574
0.969697      -0.002725
0.979798      -0.001877
0.989899      -0.001028
1.000000      -0.000180
