,Time [s],Thrust [lb],Lift [lb],Drag [lb],Weight [lb],Percent [%],Velocity [knots],Altitude [ft],Range [nmi],RPM [rev/min],Ground Roll [ft],AOA [deg]
0,0.0,901.0607699492342,0.0,0.0,2549.8253757968887,100.0,0.0,0.0,0.0,2700,0.0,0.0
1,0.005,905.9895401160276,0.0,0.0,2549.9961515942964,100.0,0.030051247109010543,0.0,0.0,2700,0.0,0.0
2,0.01,906.1244151479195,0.00034539138306122815,1.9275563039512424e-05,2549.9960173447084,99.99995338548928,0.06011005845421665,0.0,6.260676481043864e-08,2700,0.0003804059331657886,0.0
3,0.015,906.2591584805554,0.0013819133096797031,7.712166088159285e-05,2549.9958830951205,99.99990677097857,0.09015878239848542,0.0,4.1742220658461154e-08,2700,0.00025363055334471805,0.0
4,0.02,906.3936910085615,0.0031088700919561767,0.00017349946865505042,2549.9957488455325,99.99986015646783,0.12021255066719283,0.0,6.260005170385504e-08,2700,0.00038036514355491976,0.0
5,0.025,906.5280805205687,0.00552695747759567,0.00030844781456870984,2549.995614595944,99.99981354195711,0.1502713616954676,0.0,1.2522199376487132e-07,2700,0.0007608632954479714,0.0
6,0.03,906.6623269262009,0.008636523174919981,0.0004819861034890641,2549.9954803463565,99.9997669274464,0.18033520487275767,0.0,2.2957477072869276e-07,2700,0.001394922819519485,0.0
7,0.035,906.796430094778,0.012437913558914826,0.000694133665871938,2549.995346096768,99.99972031293568,0.21040407444679146,0.0,3.756653844534314e-07,2700,0.0022825862598679627,0.0
8,0.04,906.9303899174705,0.01693147486863991,0.0009449098245874125,2549.9952118471806,99.99967369842496,0.24047796466343338,0.0,5.635008489517635e-07,2700,0.0034238962344444426,0.0
9,0.045,907.064206285554,0.02211755287161673,0.0012343338761900188,2549.995077597592,99.99962708391425,0.27055686976271087,0.0,7.930881573130981e-07,2700,0.004818895234067775,0.0
10,0.05,907.1978790903906,0.027996492862570863,0.001562425090848546,2549.994943348004,99.99958046940351,0.3006407839803756,0.0,1.064434294636573e-06,2700,0.006467625701007,0.0
11,0.055,907.3314082234373,0.034568639662898554,0.0019292027123162744,2549.994809098416,99.9995338548928,0.3307297015479086,0.0,1.3775462380344287e-06,2700,0.008370130029001844,0.0
12,0.06,907.4647935762449,0.04183433761995512,0.0023346859578912615,2549.9946748488283,99.99948724038208,0.36082361669252344,0.0,1.7324309566219153e-06,2700,0.010526450563201404,0.0
13,0.065,907.5980350404595,0.049793930606343566,0.0027788940183766427,2549.9945405992403,99.99944062587136,0.39092252363717,0.0,2.12909541151135e-06,2700,0.012936629600128022,0.0
14,0.07,907.7311325078217,0.05844776201920383,0.0032618460580409636,2549.9944063496523,99.99939401136064,0.4210264166005384,0.0,2.5675465558061848e-06,2700,0.015600709387641257,0.0
15,0.075,907.864085870167,0.06779617477950253,0.003783561214578544,2549.9942721000643,99.99934739684993,0.4511352897970626,0.0,3.047791334595075e-06,2700,0.018518732124901835,0.0
16,0.08,907.996895019426,0.07783951133132332,0.004344058599069872,2549.9941378504764,99.99930078233919,0.4812491374369244,0.0,3.5698366849459556e-06,2700,0.021690739962335663,0.0
17,0.085,908.1295598476253,0.08857811364115775,0.004943357295942033,2549.994003600888,99.99925416782848,0.5113679537260573,0.0,4.133689535900123e-06,2700,0.02511677500159786,0.0
18,0.09,908.2620802468864,0.10001232319719656,0.005581476362929152,2549.9938693513004,99.99920755331776,0.54149173286615,0.0,4.7393568084663195e-06,2700,0.02879687929553683,0.0
19,0.095,908.3944561094271,0.11214248100862186,0.0062584348310328955,2549.993735101712,99.99916093880704,0.5716204690546509,0.0,5.3868454156148256e-06,2700,0.03273109484815833,0.0
20,0.1,908.5266873275606,0.12496892760489936,0.0069742517044829744,2549.9936008521245,99.99911432429633,0.6017541564847713,0.0,6.076162262271559e-06,2700,0.03691946361458966,0.0
21,0.105,908.6587737936967,0.13849200303507161,0.007728945960697692,2549.993466602536,99.9990677097856,0.6318927893454893,0.0,6.807314245312171e-06,2700,0.04136202750104377,0.0
22,0.11,908.7907154003412,0.15271204686705142,0.008522536550244528,2549.993332352948,99.99902109527487,0.6620363618215542,0.0,7.580308253556161e-06,2700,0.046058828364783505,0.0
23,0.115,908.9225120400968,0.16762939818691633,0.009355042396800742,2549.99319810336,99.99897448076416,0.6921848680934901,0.0,8.395151167760986e-06,2700,0.05100990801408578,0.0
24,0.12,909.0541636056624,0.18324439559820288,0.010226482397114014,2549.993063853772,99.99892786625344,0.7223383023375993,0.0,9.251849860616177e-06,2700,0.0562153082082059,0.0
25,0.125,909.1856699898341,0.19955737722120237,0.011136875420963113,2549.992929604184,99.99888125174272,0.7524966587259669,0.0,1.0150411196737461e-05,2700,0.0616750706573418,0.0
26,0.13,909.3170310855049,0.21656868069225613,0.012086240311118596,2549.992795354596,99.99883463723201,0.7826599314264645,0.0,1.10908420326609e-05,2700,0.06738923702259839,0.0
27,0.135,909.4482467856653,0.23427864316305258,0.013074595883303558,2549.9926611050078,99.99878802272129,0.8128281146027537,0.0,1.2073149216837016e-05,2700,0.07335784891595196,0.0
28,0.14,909.579316983403,0.2526876012999235,0.014101960926154376,2549.9925268554202,99.99874140821056,0.8430012024142907,0.0,1.309733958962493e-05,2700,0.07958094790021447,0.0
29,0.145,909.7102415719035,0.2717958912831421,0.015168354201181506,2549.992392605832,99.99869479369984,0.8731791890163294,0.0,1.4163419983286514e-05,2700,0.08605857548899812,0.0
30,0.15,909.8410204444499,0.2916038488062209,0.016273794442730343,2549.9922583562443,99.99864817918912,0.903362068559926,0.0,1.527139722198053e-05,2700,0.09279077314667962,0.0
31,0.155,909.9716534944232,0.31211180907521036,0.01741830035794203,2549.992124106656,99.9986015646784,0.9335498351919426,0.0,1.6421278121756813e-05,2700,0.09977758228836489,0.0
32,0.16,910.1021406153031,0.33332010680799823,0.018601890626714405,2549.991989857068,99.99855495016769,0.9637424830550514,0.0,1.7613069490550388e-05,2700,0.10701904427985341,0.0
33,0.165,910.2324817006674,0.3552290762336093,0.01982458390166288,2549.99185560748,99.99850833565696,0.9939400062877383,0.0,1.8846778128175672e-05,2700,0.11451520043760285,0.0
34,0.17,910.3626766441922,0.3778390510915058,0.021086398808081424,2549.991721357892,99.99846172114624,1.024142399024307,0.0,2.0122410826320647e-05,2700,0.1222660920286937,0.0
35,0.17500000000000002,910.4927253396527,0.4011503646308884,0.02238735394390354,2549.991587108304,99.99841510663552,1.0543496553948832,0.0,2.1439974368541003e-05,2700,0.1302717602707938,0.0
36,0.18,910.6226276809228,0.4251633496099979,0.023727467879663306,2549.991452858716,99.9983684921248,1.0845617695254182,0.0,2.279947553025437e-05,2700,0.13853224633212302,0.0
37,0.185,910.7523835619755,0.4498783382954172,0.025106759158456393,2549.9913186091276,99.99832187761409,1.1147787355376928,0.0,2.4200921078734465e-05,2700,0.1470475913314181,0.0
38,0.19,910.8819928768833,0.4752956624613739,0.02652524629590119,2549.99118435954,99.99827526310337,1.1450005475493221,0.0,2.564431777310531e-05,2700,0.15581783633789711,0.0
39,0.195,911.0114555198179,0.5014156533890439,0.027982947780099902,2549.9910501099516,99.99822864859264,1.1752271996737582,0.0,2.712967236433542e-05,2700,0.16484302237122442,0.0
40,0.2,911.140771385051,0.5282386418658559,0.02947988207159973,2549.990915860364,99.99818203408192,1.2054586860202956,0.0,2.8656991595232013e-05,2700,0.17412319040147536,0.0
41,0.20500000000000002,911.269940366954,0.555764958184794,0.031016067603353986,2549.9907816107757,99.9981354195712,1.235695000694074,0.0,3.0226282200435222e-05,2700,0.18365838134910117,0.0
42,0.21,911.398962359998,0.5839949321437052,0.03259152278068342,2549.9906473611877,99.99808880506048,1.265936137796083,0.0,3.183755090641231e-05,2700,0.19344863608489374,0.0
43,0.215,911.5278372587547,0.6129288930446033,0.03420626598123739,2549.9905131115997,99.99804219054977,1.2961820914231659,0.0,3.3490804431451904e-05,2700,0.20349399542995056,0.0
44,0.22,911.6565649578965,0.6425671696929761,0.03586031555495517,2549.9903788620118,99.99799557603905,1.3264328556680238,0.0,3.518604948565818e-05,2700,0.2137945001556396,0.0
45,0.225,911.7851453521955,0.672910090397092,0.03755368982402728,2549.990244612424,99.99794896152832,1.3566884246192197,0.0,3.692329277094515e-05,2700,0.22435019098356437,0.0
46,0.23,911.9135783365252,0.7039579829673077,0.03928640708285684,2549.990110362836,99.9979023470176,1.3869487923611823,0.0,3.8702540981030856e-05,2700,0.23516110858552872,0.0
47,0.23500000000000001,912.0418638058601,0.7357111747153762,0.04105848559802095,2549.9899761132474,99.99785573250688,1.4172139529742103,0.0,4.052380080143166e-05,2700,0.24622729358350212,0.0
48,0.24,912.1700016552753,0.7681699924537552,0.042869943608232104,2549.98984186366,99.99780911799616,1.447483900534476,0.0,4.238707890945645e-05,2700,0.2575487865495845,0.0
49,0.245,912.297991779948,0.801334762494917,0.04472079932429964,2549.9897076140714,99.99776250348545,1.4777586291140299,0.0,4.429238197420092e-05,2700,0.2691256280059715,0.0
50,0.25,912.4258340751563,0.8352058106506582,0.04661107092909128,2549.989573364484,99.99771588897472,1.5080381327808055,0.0,4.623971665654182e-05,2700,0.28095785842491944,0.0
51,0.255,912.55352843628,0.8697834622314109,0.048540776577494615,2549.989439114896,99.997669274464,1.5383224055986204,0.0,4.822908960913123e-05,2700,0.2930455182287108,0.0
52,0.26,912.6810747588012,0.9050680420455521,0.05050993439637865,2549.9893048653075,99.99762265995328,1.5686114416271848,0.0,5.026050747639083e-05,2700,0.30538864778961883,0.0
53,0.265,912.8084729383037,0.9410598743987174,0.05251856248455541,2549.98917061572,99.99757604544256,1.5989052349221013,0.0,5.233397689450617e-05,2700,0.3179872874298735,0.0
54,0.27,912.9357228704735,0.9777592830931129,0.054566678912741584,2549.9890363661316,99.99752943093185,1.6292037795348724,0.0,5.444950449142096e-05,2700,0.33084147742162606,0.0
55,0.275,913.0628244510993,1.0151665914268266,0.05665430172352017,2549.988902116544,99.99748281642113,1.659507069512902,0.0,5.660709688683138e-05,2700,0.34395125798691506,0.0
56,0.28,913.1897775760723,1.0532821221931457,0.05878144893130219,2549.9887678669556,99.9974362019104,1.689815098899501,0.0,5.880676069218032e-05,2700,0.3573166692976311,0.0
57,0.28500000000000003,913.3165821413863,1.0921061976798672,0.060948138522288364,2549.9886336173677,99.99738958739968,1.720127861733892,0.0,6.104850251065174e-05,2700,0.3709377514754824,0.0
58,0.29,913.4432380431383,1.1316391396686147,0.06315438845443101,2549.9884993677797,99.99734297288896,1.750445352051211,0.0,6.333232893716496e-05,2700,0.38481454459196035,0.0
59,0.295,913.5697451775283,1.1718812694341536,0.0654002166573957,2549.9883651181917,99.99729635837824,1.7807675638825142,0.0,6.565824655836894e-05,2700,0.3989470886683047,0.0
60,0.3,913.6961034408597,1.2128329077437074,0.06768564103252316,2549.9882308686038,99.99724974386753,1.8110944912547802,0.0,6.802626195263661e-05,2700,0.4133354236754692,0.0
61,0.305,913.8223127295396,1.2544943748562745,0.07001067945279117,2549.988096619016,99.9972031293568,1.8414261281909157,0.0,7.043638169005925e-05,2700,0.4279795895340871,0.0
62,0.31,913.9483729400786,1.2968659905219448,0.07237534976277639,2549.9879623694274,99.99715651484608,1.8717624687097583,0.0,7.288861233244073e-05,2700,0.4428796261144365,0.0
63,0.315,914.0742839690909,1.3399480739812197,0.07477966977861646,2549.98782811984,99.99710990033537,1.9021035068260812,0.0,7.53829604332919e-05,2700,0.4580355732364062,0.0
64,0.32,914.2000457132953,1.3837409439643293,0.07722365728797177,2549.9876938702514,99.99706328582464,1.9324492365505983,0.0,7.791943253782493e-05,2700,0.47344747066946125,0.0
65,0.325,914.3256580695145,1.4282449186905533,0.07970733004998773,2549.987559620664,99.99701667131392,1.9627996518899669,0.0,8.049803518294763e-05,2700,0.48911535813260837,0.0
66,0.33,914.4511209346758,1.4734603158675381,0.08223070579525658,2549.9874253710755,99.9969700568032,1.9931547468467918,0.0,8.311877489725784e-05,2700,0.505039275294362,0.0
67,0.335,914.5764342058113,1.5193874526906204,0.08479380222577958,2549.9872911214875,99.99692344229248,2.0235145154196315,0.0,8.578165820103774e-05,2700,0.5212192617727096,0.0
