,Time [s],Thrust [lb],Lift [lb],Drag [lb],Weight [lb],Percent [%],Velocity [knots],Altitude [ft],Range [nmi],RPM [rev/min],Pitch [deg],AOA [deg]
0,470.65000000000003,802.5882625527046,3068.8856804516417,55.57795598047845,2180.0780899980477,97.15389494020809,66.05892067837003,-0.06597981488337708,10.451924481434506,2700,0.0,5.0
1,470.66,802.5882625527046,3068.8856804516417,55.57795598047845,2180.0780899980477,97.15389494020809,66.12397211135155,-0.06597981488337708,10.452107978436391,2700,0.018178144595721,5.0
2,470.67,802.0920853539259,3074.932818505658,55.67829705422475,2180.0778257141583,97.15380317483077,66.18885484527286,-0.06597981488337708,10.452291746472048,2700,0.03650005935561377,5.0
3,470.68,801.5964231948005,3080.9701553826335,55.77547239826817,2180.0775613194837,97.15371140945344,66.25396244598895,-0.06544868513599636,10.452475152926247,2700,0.054630158115320925,5.0
4,470.69000000000005,801.098265700122,3087.0344318770485,55.87704540402759,2180.0772970722223,97.15361964407752,66.31895773940964,-0.06562427086587515,10.452658740769078,2700,0.07285650855674519,5.0
5,470.70000000000005,800.6001930424642,3093.094163102715,55.97656199999584,2180.077032752036,97.15352787870115,66.38384032145582,-0.06545024319588674,10.452842508119975,2700,0.0911780483955077,5.0
6,470.71000000000004,800.1022123680128,3099.1492792715558,56.07395908835858,2180.0767683564595,97.15343611332526,66.44861038765251,-0.06491477234369115,10.453026456443805,2700,0.10959549329287777,5.0
7,470.72,799.6043261775441,3105.199768352194,56.16931984384144,2180.076503887204,97.15334434795079,66.51326779217122,-0.06402605046509022,10.453210585411098,2700,0.12810860549799966,5.0
8,470.73,799.1065396097974,3111.245585527618,56.26269936771026,2180.0762393437326,97.1532525825787,66.57781241882171,-0.06278148123095204,10.453394894689003,2700,0.14671714626216642,5.0
9,470.74,798.6088575745865,3117.286688760331,56.35418741944448,2180.0759747255147,97.15316081720995,66.64224413534622,-0.06117852500644237,10.45357938394576,2700,0.16542087830476657,5.0
10,470.75000000000006,798.1112851044577,3123.323034513537,56.44390899009691,2180.07571003202,97.1530690518455,66.70656280742644,-0.05921460747304438,10.453764052848758,2700,0.18421956474379408,5.0
