,Time [s],Thrust [lb],Lift [lb],Drag [lb],Weight [lb],Percent [%],Velocity [knots],Altitude [ft],Range [nmi],RPM [rev/min],AOA [deg]
0,63.635,525.9123171512981,2535.89488176116,184.1244169507712,2549.4201926343485,96.12883190243303,73.14284708856816,750.1824710051418,1.112922621905111,4000.0,2.430141399887418
1,63.644999999999996,525.9123171512981,2527.120851350715,183.30304571166744,2549.4201926343485,96.12883190243303,73.16842842776424,750.1824710051418,1.113125796480357,4000.0,2.399236606116201
2,63.655,525.7360193083719,2527.4024996462736,183.28859046718196,2549.4201926343485,96.12822356298184,73.19399286318381,750.1824710051418,1.1133290776445164,3999.9,2.394004869430081
3,63.665,525.5597690124284,2527.4670274199702,183.25396950106688,2549.4201926343485,96.12761523873917,73.2195762934259,750.1824710051418,1.1135322166705601,3999.8,2.3880186815777344
4,63.675,525.3833372096617,2527.5293087997743,183.21920532708359,2549.4201926343485,96.12700692970498,73.24514934065557,750.1824710051418,1.113735426820906,3999.7000000000003,2.382026178215883
5,63.684999999999995,525.2069113991771,2527.5915427223754,183.1845498207308,2549.4201926343485,96.12639863587927,73.27071201286793,750.1824710051418,1.113938707923189,3999.6000000000004,2.3760422269510224
6,63.695,525.0304916172516,2527.6536614801294,183.14999642876464,2549.4201926343485,96.12579035726205,73.2962642828227,750.1824710051418,1.1141420601049858,3999.5000000000005,2.3700665722159115
7,63.705,524.8540781252537,2527.715667395867,183.1155451882981,2549.4201926343485,96.12518209385328,73.32180614250358,750.1824710051418,1.1143454833374034,3999.4000000000005,2.3640992133137346
8,63.714999999999996,524.6776710618511,2527.7775606145533,183.0811959034877,2549.4201926343485,96.12457384565303,73.34733758390388,750.1824710051418,1.114548977591682,3999.3000000000006,2.358140137255179
9,63.725,524.5012705656798,2527.8393413260023,183.046948382837,2549.4201926343485,96.12396561266125,73.37285859905722,750.1824710051418,1.1147525428389375,3999.2000000000007,2.3521893312332507
10,63.735,524.3248767751514,2527.9010097183555,183.01280243507182,2549.4201926343485,96.12335739487798,73.39836918002472,750.1824710051418,1.1149561790502642,3999.100000000001,2.346246782452445
11,63.745,524.1484898285303,2527.9625659795142,182.97875786926804,2549.4201926343485,96.12274919230317,73.42386931889499,750.1824710051418,1.115159886196733,3999.000000000001,2.3403124781368447
12,63.754999999999995,523.972109863937,2528.024010297114,182.94481449471078,2549.4201926343485,96.12214100493688,73.44935900778418,750.1824710051418,1.1153636642493934,3998.900000000001,2.334386405529977
13,63.765,523.7957370193438,2528.0853428585206,182.91097212096724,2549.4201926343485,96.12153283277905,73.47483823883584,750.1824710051418,1.1155675131792724,3998.800000000001,2.3284685518947974
14,63.775,523.6193714325788,2528.146563850834,182.8772305580009,2549.4201926343485,96.12092467582973,73.50030700422096,750.1824710051418,1.1157714329573751,3998.700000000001,2.3225589045136887
15,63.785,523.4430132413222,2528.2076734608854,182.8435896159105,2549.4201926343485,96.12031653408887,73.52576529613782,750.1824710051418,1.115975423554685,3998.6000000000013,2.316657450688421
16,63.794999999999995,523.2666625831088,2528.2686718752416,182.81004910521682,2549.4201926343485,96.11970840755649,73.55121310681207,750.1824710051418,1.1161794849421636,3998.5000000000014,2.3107641777401575
17,63.805,523.0903195953257,2528.3295592801996,182.77660883665192,2549.4201926343485,96.11910029623262,73.5766504284966,750.1824710051418,1.11638361709075,3998.4000000000015,2.304879073009415
18,63.815,522.9139844152147,2528.390335861792,182.74326862135118,2549.4201926343485,96.11849220011722,73.60207725347153,750.1824710051418,1.1165878199713621,3998.3000000000015,2.2990021238560665
19,63.824999999999996,522.7376571798685,2528.4510018057845,182.71002827061417,2549.4201926343485,96.11788411921032,73.62749357404418,750.1824710051418,1.1167920935548963,3998.2000000000016,2.2931333176593083
20,63.835,522.5613380262342,2528.5115572976756,182.676887596036,2549.4201926343485,96.11727605351189,73.652899382549,750.1824710051418,1.1169964378122275,3998.1000000000017,2.2872726418176406
21,63.845,522.3850270911117,2528.5720025226974,182.64384640958735,2549.4201926343485,96.11666800302197,73.67829467134753,750.1824710051418,1.1172008527142085,3998.000000000002,2.281420083748868
22,63.855,522.2087245111517,2528.632337665818,182.6109045234117,2549.4201926343485,96.11605996774053,73.70367943282838,750.1824710051418,1.117405338231671,3997.900000000002,2.2755756308900636
23,63.864999999999995,522.0324304228595,2528.6925629117377,182.57806175004688,2549.4201926343485,96.11545194766757,73.72905365940719,750.1824710051418,1.117609894335426,3997.800000000002,2.2697392706975603
24,63.875,521.8561449625905,2528.752678444892,182.54531790223612,2549.4201926343485,96.11484394280309,73.75441734352657,750.1824710051418,1.1178145209962622,3997.700000000002,2.2639109906469237
25,63.885,521.6798682665535,2528.8126844494504,182.51267279311205,2549.4201926343485,96.1142359531471,73.77977047765606,750.1824710051418,1.118019218184948,3997.600000000002,2.258090778232946
26,63.894999999999996,521.5036004708084,2528.872581109318,182.48012623598208,2549.4201926343485,96.1136279786996,73.80511305429211,750.1824710051418,1.11822398587223,3997.5000000000023,2.2522786209696166
27,63.905,521.3273417112673,2528.932368608134,182.4476780444457,2549.4201926343485,96.11302001946058,73.830445065958,750.1824710051418,1.118428824028834,3997.4000000000024,2.246474506390104
28,63.915,521.1510921236932,2528.992047129272,182.41532803248873,2549.4201926343485,96.11241207543006,73.85576650520382,750.1824710051418,1.1186337326254654,3997.3000000000025,2.2406784220467477
29,63.925,520.9748518437017,2529.0516168558424,182.3830760143093,2549.4201926343485,96.11180414660801,73.88107736460645,750.1824710051418,1.1188387116328078,3997.2000000000025,2.2348903555110358
30,63.934999999999995,520.798621006758,2529.11107797069,182.3509218043555,2549.4201926343485,96.11119623299446,73.9063776367695,750.1824710051418,1.1190437610215247,3997.1000000000026,2.229110294373576
31,63.945,520.6223997481795,2529.170430656395,182.31886521745386,2549.4201926343485,96.11058833458938,73.93166731432325,750.1824710051418,1.1192488807622585,3997.0000000000027,2.223338226244091
32,63.955,520.4461882031338,2529.2296750952733,182.2869060685672,2549.4201926343485,96.1099804513928,73.95694638992462,750.1824710051418,1.1194540708256309,3996.900000000003,2.2175741387513863
33,63.964999999999996,520.2699865066405,2529.288811469377,182.25504417309295,2549.4201926343485,96.1093725834047,73.98221485625714,750.1824710051418,1.1196593311822434,3996.800000000003,2.2118180195433528
