,Time [s],Thrust [lb],Lift [lb],Drag [lb],Weight [lb],Percent [%],Velocity [knots],Altitude [ft],Range [nmi],RPM [rev/min],AOA [deg]
0,63.655,525.8924024766346,2536.2769976229074,184.15531986586973,2549.8131571548292,89.72801853667612,73.14596987267369,750.2485781364555,1.1133079800890044,4000.0,2.4307419178232843
1,63.665,525.8924024766346,2527.509153350365,183.33446812058435,2549.8131571548292,89.72801853667612,73.17154341487355,750.2485781364555,1.1135111633386505,4000.0,2.3998614903671402
2,63.675000000000004,525.7161465428115,2527.790576182274,183.3199919788929,2549.8131571548292,89.72640484074283,73.19710006220843,750.2485781364555,1.113714453144723,3999.9,2.3946306021703876
3,63.685,525.539938144366,2527.855085813942,183.2853679353511,2549.8131571548292,89.72479118515196,73.22267569519492,750.2485781364555,1.1139176008560063,3999.8,2.3886460509110536
4,63.695,525.3635483312515,2527.9173502365857,183.25060073699404,2549.8131571548292,89.72317756990347,73.24824095011523,750.2485781364555,1.1141208196699004,3999.7000000000003,2.382655187222234
5,63.705,525.187164521965,2527.9795672339474,183.2159421608225,2549.8131571548292,89.72156399499737,73.27379583495855,750.2485781364555,1.1143241094141267,3999.6000000000004,2.376672870788143
6,63.715,525.0107867527502,2528.041669132013,183.18138565648047,2549.8131571548292,89.71995046043368,73.29934032250348,750.2485781364555,1.1145274702162014,3999.5000000000005,2.370698846194534
7,63.725,524.8344152847945,2528.103658252134,183.1469312610864,2549.8131571548292,89.71833696621239,73.32487440473945,750.2485781364555,1.1147309020472445,3999.4000000000005,2.3647331127478797
8,63.735,524.6580502566637,2528.1655347391415,183.11257877885348,2549.8131571548292,89.7167235123335,73.35039807366545,750.2485781364555,1.11493440487851,3999.3000000000006,2.3587756574705585
9,63.745000000000005,524.4816918068918,2528.227298782683,183.07832801855582,2549.8131571548292,89.71511009879701,73.37591132132067,750.2485781364555,1.115137978681128,3999.2000000000007,2.352826467567114
10,63.755,524.3053400737882,2528.2889505707353,183.0441787889726,2549.8131571548292,89.71349672560291,73.40141413977187,750.2485781364555,1.1153416234262061,3999.100000000001,2.346885530253574
11,63.765,524.1289951955156,2528.3504902910363,183.0101308993223,2549.8131571548292,89.71188339275122,73.42690652111324,750.2485781364555,1.1155453390848293,3999.000000000001,2.340952832765513
12,63.775,523.9526573100921,2528.411918131057,182.97618415906166,2549.8131571548292,89.71027010024191,73.45238845746648,750.2485781364555,1.1157491256280607,3998.900000000001,2.3350283623579315
13,63.785000000000004,523.7763265553888,2528.4732342779994,182.94233837789417,2549.8131571548292,89.70865684807501,73.47785994098071,750.2485781364555,1.1159529830269412,3998.800000000001,2.3291121063052262
14,63.795,523.6000030691322,2528.5344389188003,182.90859336582386,2549.8131571548292,89.7070436362505,73.50332096383237,750.2485781364555,1.11615691125249,3998.700000000001,2.3232040519011994
15,63.805,523.4236869889007,2528.5955322401287,182.87494893323807,2549.8131571548292,89.7054304647684,73.52877151822526,750.2485781364555,1.1163609102757042,3998.6000000000013,2.317304186459016
16,63.815,523.247378452128,2528.6565144283877,182.8414048906619,2549.8131571548292,89.7038173336287,73.55421159639047,750.2485781364555,1.116564980067559,3998.5000000000014,2.3114124973112045
17,63.825,523.0710775960999,2528.7173856697136,182.80796104910092,2549.8131571548292,89.7022042428314,73.57964119058633,750.2485781364555,1.1167691205990078,3998.4000000000015,2.305528971809626
18,63.835,522.8947845579571,2528.778146149976,182.77461721969922,2549.8131571548292,89.70059119237649,73.60506029309839,750.2485781364555,1.1169733318409822,3998.3000000000015,2.2996535973254693
19,63.845,522.7184994746909,2528.838796054779,182.74137321381707,2549.8131571548292,89.69897818226397,73.63046889623932,750.2485781364555,1.1171776137643925,3998.2000000000016,2.293786361249219
20,63.855000000000004,522.5422224831483,2528.89933556946,182.70822884338565,2549.8131571548292,89.69736521249386,73.65586699234895,750.2485781364555,1.1173819663401274,3998.1000000000017,2.2879272509906423
21,63.865,522.3659537200274,2528.959764879092,182.67518392041995,2549.8131571548292,89.69575228306616,73.68125457379416,750.2485781364555,1.117586389539054,3998.000000000002,2.2820762539787847
22,63.875,522.189693321879,2529.02008416848,182.64223825722928,2549.8131571548292,89.69413939398083,73.70663163296891,750.2485781364555,1.1177908833320183,3997.900000000002,2.2762333576619342
