,Time [s],Thrust [lb],Lift [lb],Drag [lb],Weight [lb],Percent [%],Velocity [knots],Altitude [ft],Range [nmi],RPM [rev/min],Ground Roll [ft],AOA [deg]
0,0.0,905.9901441095577,0.0,0.0,2549.9961515942964,100.0,0.0,0,0.0,2700,0.0,0.0
1,0.005,905.9901441095577,0.0,0.0,2549.9961515942964,100.0,0.030051269684870607,0,0.0,2700,0.0,0.0
2,0.01,906.1250196163659,0.00034539190200877346,1.9275592000878038e-05,2549.9961515942964,99.99885834229923,0.06011010105828663,0,6.260681184348044e-08,2700,0.0003804062189439822,0.0
3,0.015,906.2597634120901,0.00138191526859153,7.712177020432139e-05,2549.9961515942964,99.99771668459844,0.0901588479588862,0,4.1742250539487776e-08,2700,0.00025363073490528666,0.0
4,0.02,906.3942964156798,0.003108874613287053,0.00017349972098096997,2549.9961515942964,99.99657502689767,0.12021263741945103,0,6.260010072627817e-08,2700,0.000380365441420824,0.0
5,0.025,906.5286863949353,0.005526965454736367,0.0003084482597560709,2549.9961515942964,99.99543336919689,0.15027146787297818,0,1.2522208499661015e-07,2700,0.0007608638497825526,0.0
6,0.03,906.6629332594993,0.008636535379572215,0.00048198678460490844,2549.9961515942964,99.99429171149612,0.18033532870956656,0,2.2957493727763532e-07,2700,0.001394923831490094,0.0
7,0.035,906.7970368787237,0.012437930641237207,0.0006941346192002433,2549.9961515942964,99.99315005379533,0.2104042141761034,0,3.756656569798987e-07,2700,0.002282587915770251,0.0
8,0.04,906.9309971438045,0.01693149735702684,0.0009449110796167537,2549.9961515942964,99.99200839609456,0.24047811851761322,0,5.63501255661143e-07,2700,0.0034238987056576017,0.0
9,0.045,907.0648139460419,0.022117581172580194,0.0012343354556069702,2549.9961515942964,99.99086673839378,0.2705570359732859,0,7.930887239586479e-07,2700,0.004818898677071575,0.0
10,0.05,907.198487176824,0.027996527260622645,0.001562427010531109,2549.9961515942964,99.989725080693,0.30064096077803765,0,1.064435044518254e-06,2700,0.006467630257374693,0.0
11,0.055,907.3320167276327,0.03456868032043269,0.0019292049813273173,2549.9961515942964,99.98858342299222,0.3307298871625157,0,1.3775471919977353e-06,2700,0.008370135825393064,0.0
12,0.06,907.4654024900444,0.04183438457713063,0.002334688578471974,2549.9961515942964,99.98744176529145,0.36082380935310204,0,1.7324321330567115e-06,2700,0.010526457711355085,0.0
13,0.065,907.5986443557302,0.049793983780967395,0.002778896985940004,2549.9961515942964,99.98630010759068,0.3909227215719166,0,2.1290968263507074e-06,2700,0.012936638196855348,0.0
14,0.07,907.7317422164564,0.05844782120661407,0.0032618493611652256,2549.9961515942964,99.9851584498899,0.42102661803682156,0,2.567548222525223e-06,2700,0.015600719514818612,0.0
15,0.075,907.8646959640839,0.067796239652452,0.0037835648350007327,2549.9961515942964,99.98401679218912,0.4511354929614251,0,3.047793264209805e-06,2700,0.018518743849463778,0.0
16,0.08,907.9975054905691,0.07783958143986335,0.004344062511679303,2549.9961515942964,99.98287513448835,0.481249340555085,0,3.569838886012127e-06,2700,0.021690753336267913,0.0
17,0.085,908.1301706879636,0.08857818841252214,0.004943361468773837,2549.9961515942964,99.98173347678755,0.5113681550229126,0,4.133692014512071e-06,2700,0.025116790061930305,0.0
18,0.09,908.262691448415,0.10001240193568603,0.005581480757157821,2549.9961515942964,99.98059181908678,0.5414919305657766,0,4.739359568255819e-06,2700,0.028796896064336542,0.0
19,0.095,908.3950676641662,0.11214256289548856,0.006258439400965843,2549.9961515942964,99.97945016138601,0.5716206613803072,0,5.386848457749944e-06,2700,0.03273111333252263,0.0
20,0.1,908.5272992275566,0.12496901169823177,0.0069742563975541075,2549.9961515942964,99.97830850368523,0.6017543416588993,0,6.076165585455511e-06,2700,0.03691948380663913,0.0
21,0.105,908.6593860310211,0.1384920882696797,0.0077289507174610125,2549.9961515942964,99.97716684598446,0.6318929655897171,0,6.807317845782183e-06,2700,0.04136204937791537,0.0
22,0.11,908.7913279670918,0.15271213205435216,0.008522541304367725,2549.9961515942964,99.97602518828369,0.6620365273566975,0,7.580312125082329e-06,2700,0.0460588518886236,0.0
23,0.115,908.9231249283966,0.16762948201481917,0.009355047075058815,2549.9961515942964,99.9748835305829,0.6921850211395539,0,8.395155301645142e-06,2700,0.051009933132043314,0.0
24,0.12,909.0547768076607,0.18324447663099594,0.010226486919382915,2549.9961515942964,99.97374187288213,0.7223384411137804,0,9.251854245690756e-06,2700,0.05621533485242546,0.0
25,0.125,909.1862834977057,0.19955745389943835,0.01113687970021339,2549.9961515942964,99.97260021518134,0.7524967814506559,0,1.0150415819364377e-05,2700,0.06167509874495678,0.0
26,0.13,909.3176448914508,0.21656875133263928,0.01208624425340907,2549.9961515942964,99.97145855748057,0.7826600363172471,0,1.109084687673041e-05,2700,0.06738926645572416,0.0
27,0.135,909.448860881912,0.23427870595832517,0.013074599387774992,2549.9961515942964,99.97031689977979,0.8128281998764134,0,1.2073154263766601e-05,2700,0.07335787958167896,0.0
28,0.14,909.5799313622031,0.252687654318753,0.014101963885023185,2549.9961515942964,99.96917524207902,0.8430012662868102,0,1.3097344818358174e-05,2700,0.07958097967060151,0.0
29,0.145,909.7108562255354,0.27179593247000866,0.015168356499733474,2549.9961515942964,99.96803358437823,0.8731792297028929,0,1.4163425370291985e-05,2700,0.08605860822106548,0.0
30,0.15,909.8416353652183,0.2916038759813047,0.01627379595931433,2549.9961515942964,99.96689192667746,0.9033620842749212,0,1.5271402741250665e-05,2700,0.09279080668240235,0.0
31,0.155,909.9722686746591,0.31211181993427967,0.017418300963963733,2549.9961515942964,99.96575026897668,0.9335498241489625,0,1.6421283744806796e-05,2700,0.09977761645466597,0.0
32,0.16,910.1027560473628,0.3333200989222976,0.01860189018663012,2549.9961515942964,99.9646086112759,0.9637424434668964,0,1.7613075186417048e-05,2700,0.10701907888859703,0.0
33,0.165,910.233097376934,0.355229047049748,0.01982458227297327,2549.9961515942964,99.96346695357514,0.9939399363664179,0,1.8846783863416385e-05,2700,0.11451523528558775,0.0
34,0.17,910.3632925570745,0.3778389979313466,0.021086395841325305,2549.9961515942964,99.96232529587435,1.024142296981042,0,2.0122416565012205e-05,2700,0.12226612689764635,0.0
35,0.17500000000000002,910.493341481586,0.4011502846914367,0.02238734948265171,2549.9961515942964,99.96118363817358,1.054349519440108,0,2.143998007227854e-05,2700,0.13027179492736177,0.0
36,0.18,910.6232440443683,0.4251632399632908,0.02372746176051234,2549.9961515942964,99.96004198047281,1.0845615978687821,0,2.279948115815024e-05,2700,0.13853228052786826,0.0
37,0.185,910.7530001394211,0.4498781958884133,0.025106751211022516,2549.9961515942964,99.95890032277201,1.1147785263880627,0,2.4200926587417154e-05,2700,0.14704762480281028,0.0
38,0.19,910.882609660843,0.4752954841158431,0.026525236342814087,2549.9961515942964,99.95775866507124,1.1450002991147838,0,2.5644323116718342e-05,2700,0.15581786880630702,0.0
