,Time [s],Thrust [lb],Lift [lb],Drag [lb],Power [hp],Weight [lb],Percent [%],Velocity [knots],Altitude [ft],Range [nmi],RPM [rev/min],AOA [deg]
0,740.9499999999999,686.1374284711404,2547.0993952459494,170.49559733402305,119099.28758365076,2549.431834628291,77.24103536526844,75.85257471340482,750.4062503570757,16.274496150547538,2700.0,0.6856828767108993
1,740.9599999999999,686.1374284711404,2541.2207332220655,174.82911273871238,119099.28758365076,2549.431834628291,77.24103536526844,75.89079998296897,750.4062503570757,16.274706852143964,2700.0,0.6649808564321171
2,740.9699999999999,685.7684458359348,2541.4624644992946,174.50260312442762,119094.87649892544,2549.431834628291,77.24016057589748,75.92900123222707,750.4062503570757,16.274917713012346,2699.9,0.6568184908950672
3,740.9799999999999,685.3994505275543,2541.5750039112713,174.44609697993758,119090.46541420014,2549.431834628291,77.23928581913589,75.96732405849215,750.4062503570757,16.27512836149032,2699.8,0.648219633060974
4,740.9899999999999,685.0291320874276,2541.6822575019924,174.4008658829809,119086.05432947482,2549.431834628291,77.23841109498345,76.00562259859646,750.4062503570757,16.275339116351475,2699.7000000000003,0.6395864245236105
5,740.9999999999999,684.6588091783757,2541.7896020720864,174.3549729178552,119081.6432447495,2549.431834628291,77.23753640343999,76.04389724791541,750.4062503570757,16.27554997698953,2699.6000000000004,0.6309720980921298
6,741.0099999999999,684.2888558652127,2541.8966056749628,174.3093170763688,119077.23216002418,2549.431834628291,77.23666174450531,76.08214762826962,750.4062503570757,16.275760944114072,2699.5000000000005,0.6223749958818808
7,741.02,683.9194929358887,2542.0032855035797,174.2638571975405,119072.82107529887,2549.431834628291,77.23578711817922,76.12037370540568,750.4062503570757,16.275972017656187,2699.4000000000005,0.6137952198948127
8,741.03,683.5507194547085,2542.1096416685295,174.21859469565047,119068.40999057355,2549.431834628291,77.2349125244615,76.15857547540229,750.4062503570757,16.27618319755044,2699.3000000000006,0.6052327314743535
9,741.04,683.1825342162263,2542.2156752367628,174.17352911389045,119063.99890584823,2549.431834628291,77.23403796335198,76.1967529664867,750.4062503570757,16.2763944837295,2699.2000000000007,0.5966874883466464
10,741.05,682.8149357303743,2542.3213873225623,174.1286600372536,119059.58782112291,2549.431834628291,77.23316343485045,76.2349062069092,750.4062503570757,16.276605876125902,2699.100000000001,0.5881594410597426
11,741.06,682.4479225115306,2542.4267791213038,174.08398687150572,119055.1767363976,2549.431834628291,77.23228893895671,76.27303522494246,750.4062503570757,16.276817374672085,2699.000000000001,0.5796485406249001
12,741.0699999999999,682.0814930785072,2542.531851819486,174.0395090325142,119050.76565167228,2549.431834628291,77.23141447567058,76.3111400487999,750.4062503570757,16.277028979300567,2698.900000000001,0.5711547382011624
13,741.0799999999999,681.7156459552618,2542.6366065985003,173.99522593780287,119046.35456694697,2549.431834628291,77.23054004499186,76.3492207066359,750.4062503570757,16.277240689943945,2698.800000000001,0.5626779851267504
