,Time [s],Thrust [lb],Lift [lb],Drag [lb],Power [hp],Weight [lb],Percent [%],Velocity [knots],Altitude [ft],Range [nmi],RPM [rev/min],Ground Roll [ft],AOA [deg]
0,348.42,867.5397280672627,0.0,0.0,119099.28758365076,2549.4441295098286,90.54953148283454,0.0,0.0,7.74793602844622,2700,636.532336572452,0.0
1,348.425,873.4960402131613,0.0,0.0,119099.28758365076,2549.6148797730807,90.54953148283454,0.02884159876971912,0.0,7.74793602844622,2700,636.532336572452,0.0
2,348.43,873.6126416459168,0.00036013559181994535,1.6097191446906463e-05,119099.28758365076,2549.6148797730807,90.54909408814905,0.05768973585387528,0.0,7.747936088532884,2700,636.532336572452,0.0
3,348.435,873.7291265623813,0.0014408689529462721,6.440336337841311e-05,119099.28758365076,2549.6148797730807,90.54865669346357,0.08652915331782308,0.0,7.74793606850778,2700,636.532336572452,0.0
4,348.44,873.8454333692687,0.003241546761834165,0.0001448893138988391,119099.28758365076,2549.6148797730807,90.5482192987781,0.1153729309398622,0.0,7.747936088527081,2700,636.532336572452,0.0
5,348.445,873.9616148485645,0.0057628223768467,0.0002575842465495527,119099.28758365076,2549.6148797730807,90.5477819040926,0.14422106717036579,0.0,7.747936148626865,2700,636.532336572452,0.0
6,348.45,874.0776709292238,0.009005022292338443,0.00040250275483991844,119099.28758365076,2549.6148797730807,90.54734450940711,0.17307355341483346,0.0,7.747936248778365,2700,636.532336572452,0.0
7,348.45500000000004,874.1936015119337,0.012968471841441138,0.0005796593803754446,119099.28758365076,2549.6148797730807,90.54690711472163,0.20193038486248505,0.0,7.747936388987637,2700,636.532336572452,0.0
8,348.46000000000004,874.3094065127168,0.017653496209221152,0.0007890686581434746,119099.28758365076,2549.6148797730807,90.54646972003614,0.2307915567010346,0.0,7.747936569260741,2700,636.532336572452,0.0
9,348.46500000000003,874.4250858476753,0.023060420148706712,0.0010307451038202898,119099.28758365076,2549.6148797730807,90.54603232535067,0.25965706411390205,0.0,7.747936789603721,2700,636.532336572452,0.0
10,348.47,874.5406394329799,0.029189567979891935,0.0013047032137265928,119099.28758365076,2549.6148797730807,90.54559493066517,0.2885269022813093,0.0,7.747937050022618,2700,636.532336572452,0.0
11,348.475,874.6560671848746,0.03604126358929319,0.001610957464807677,119099.28758365076,2549.6148797730807,90.5451575359797,0.3174010663802834,0.0,7.747937350523461,2700,636.532336572452,0.0
12,348.48,874.7713690196764,0.043615830429369486,0.0019495223146075203,119099.28758365076,2549.6148797730807,90.5447201412942,0.34627955158465945,0.0,7.747937691112278,2700,636.532336572452,0.0
13,348.485,874.8865448537758,0.05191359151794323,0.0023204122012428934,119099.28758365076,2549.6148797730807,90.54428274660873,0.37516235306508317,0.0,7.747938071795085,2700,636.532336572452,0.0
14,348.49,875.0015946036365,0.06093486943762138,0.0027236415433774873,119099.28758365076,2549.6148797730807,90.54384535192324,0.4040494659890135,0.0,7.747938492577894,2700,636.532336572452,0.0
15,348.495,875.1165181857959,0.07067998633521708,0.0031592247401960615,119099.28758365076,2549.6148797730807,90.54340795723775,0.4329408855207259,0.0,7.74793895346671,2700,636.532336572452,0.0
16,348.5,875.231315516865,0.08114926392117172,0.0036271761713786133,119099.28758365076,2549.6148797730807,90.54297056255227,0.4618366068213149,0.0,7.74793945446753,2700,636.532336572452,0.0
17,348.505,875.345986513529,0.0923430234689776,0.0041275101970745685,119099.28758365076,2549.6148797730807,90.5425331678668,0.49073662504869675,0.0,7.747939995586348,2700,636.532336572452,0.0
18,348.51,875.4605310925465,0.10426158581460075,0.004660241157876984,119099.28758365076,2549.6148797730807,90.5420957731813,0.5196409353576126,0.0,7.747940576829147,2700,636.532336572452,0.0
19,348.51500000000004,875.5749491707505,0.11690527135590438,0.005225383374796784,119099.28758365076,2549.6148797730807,90.54165837849581,0.5485495328996312,0.0,7.7479411982019055,2700,636.532336572452,0.0
20,348.52000000000004,875.689240665048,0.13027440005207294,0.005822951149237004,119099.28758365076,2549.6148797730807,90.54122098381033,0.5774624128231515,0.0,7.747941859710595,2700,636.532336572452,0.0
