,Time [s],Thrust [lb],Lift [lb],Drag [lb],Weight [lb],Percent [%],Velocity [knots],Altitude [ft],Range [nmi],RPM [rev/min],Pitch [deg],AOA [deg]
0,995.4200000000001,16.027725436944817,2546.463437496543,285.9914741205461,2549.4201805751077,70.17159299446473,90.20069234888467,750.2336191946135,22.16629998442959,150,-3.0,-6.4251022085348675
1,995.4300000000001,16.027725436944817,2547.719860334375,216.08739886199137,2549.4201805751077,70.17159299446473,90.19570286668679,750.2336191946135,22.166550198528018,150,-2.9999999586929036,-6.421973329549824
2,995.44,16.02861206511222,2547.7190904350514,216.08537420200457,2549.4201805751077,70.17154700586985,90.19071447986671,750.1539420882095,22.166800391865447,150,-2.999999945065601,-6.421288146739347
3,995.45,16.029498596698435,2547.7189985339705,216.06735796339325,2549.4201805751077,70.171501017275,90.18572180003349,750.0742715944991,22.167050612885475,150,-2.999999970799913,-6.420601315208183
4,995.46,16.030385989434038,2547.7189067599443,216.049320581535,2549.4201805751077,70.17145502868014,90.18073053599971,749.9945922831547,22.167300820057093,150,-2.999999996531452,-6.419913767596244
5,995.47,16.031273228742933,2547.7188147483603,216.0312964050079,2549.4201805751077,70.17140904008528,90.17574068377476,749.9149173829778,22.167551013403628,150,-3.000000022297089,-6.419226305648949
6,995.48,16.03216031526734,2547.718722722017,216.0132801504918,2549.4201805751077,70.1713630514904,90.17075224743925,749.8352468865214,22.167801192898647,150,-3.0000000480624283,-6.418538928323447
7,995.4900000000001,16.033047248214668,2547.718630680625,215.99527184193116,2549.4201805751077,70.17131706289555,90.16576522638506,749.7555808001995,22.16805135854608,150,-3.000000073827493,-6.417851636266201
8,995.5000000000001,16.03393402762578,2547.718538624378,215.9772714708974,2549.4201805751077,70.17127107430069,90.16077962001037,749.675919122758,22.16830151034984,150,-3.000000099592253,-6.417164429463921
9,995.5100000000001,16.034820653540468,2547.7184465532873,215.95927903301794,2549.4201805751077,70.17122508570583,90.15579542770989,749.596261852952,22.16855164831385,150,-3.00000012535671,-6.416477307904609
10,995.5200000000001,16.03570712599919,2547.7183544673626,215.94129452392306,2549.4201805751077,70.17117909711097,90.15081264887863,749.5166089895304,22.16880177244204,150,-3.000000151120862,-6.41579027157574
11,995.5300000000001,16.036593445042403,2547.7182623666154,215.92331793938774,2549.4201805751077,70.1711331085161,90.14583128291187,749.4369605312429,22.16905188273834,150,-3.0000001768847087,-6.415103320464766
12,995.5400000000001,16.037479610710555,2547.7181702510547,215.90534927509637,2549.4201805751077,70.17108711992124,90.14085132920528,749.3573164768396,22.169301979206665,150,-3.000000202648249,-6.414416454559161
13,995.5500000000001,16.038365623044072,2547.718078120692,215.8873885268732,2549.4201805751077,70.17104113132638,90.13587278715484,749.2776768250714,22.169552061850943,150,-3.0000002284114835,-6.413729673846364
14,995.5600000000001,16.039251482083387,2547.717985975538,215.8694356901066,2549.4201805751077,70.17099514273151,90.13089565615684,749.1980415746895,22.169802130675087,150,-3.0000002541744104,-6.413042978313852
15,995.57,16.040137187868897,2547.717893815603,215.8514907608234,2549.4201805751077,70.17094915413665,90.12591993560787,749.1184107244454,22.170052185683023,150,-3.0000002799370296,-6.412356367949065
16,995.58,16.041022740441022,2547.7178016408966,215.83355373467876,2549.4201805751077,70.17090316554179,90.12094562490492,749.0387842730919,22.170302226878665,150,-3.000000305699341,-6.411669842739464
17,995.59,16.04190813984014,2547.717709451431,215.81562460742168,2549.4201805751077,70.17085717694692,90.11597272344522,748.9591622193815,22.170552254265925,150,-3.0000003314613433,-6.410983402672488
18,995.6,16.042793386106627,2547.7176172472164,215.7977033745887,2549.4201805751077,70.17081118835206,90.1110012306264,748.8795445620678,22.170802267848718,150,-3.000000357223036,-6.410297047735593
19,995.6100000000001,16.043678479280867,2547.717525028261,215.7797900321265,2549.4201805751077,70.1707651997572,90.10603114584632,748.7999312999045,22.171052267630955,150,-3.0000003829844193,-6.409610777916231
20,995.6200000000001,16.044563419403215,2547.717432794578,215.7618845755805,2549.4201805751077,70.17071921116234,90.10106246850324,748.7203224316463,22.17130225361655,150,-3.0000004087454917,-6.408924593201835
21,995.6300000000001,16.045448206514013,2547.7173405461767,215.74398700078723,2549.4201805751077,70.17067322256747,90.09609519799572,748.6407179560481,22.17155222580941,150,-3.0000004345062536,-6.408238493579847
22,995.6400000000001,16.04633284065361,2547.717248283068,215.72609730356604,2549.4201805751077,70.17062723397261,90.09112933372263,748.5611178718655,22.171802184213437,150,-3.000000460266703,-6.407552479037722
23,995.6500000000001,16.047217321862323,2547.7171560052616,215.70821547946366,2549.4201805751077,70.17058124537775,90.08616487508318,748.4815221778542,22.172052128832544,150,-3.0000004860268406,-6.406866549562878
24,995.6600000000001,16.04810165018047,2547.7170637127692,215.69034152429415,2549.4201805751077,70.17053525678288,90.0812018214769,748.4019308727712,22.172302059670628,150,-3.000000511786665,-6.406180705142763
25,995.6700000000001,16.04898582564837,2547.7169714055995,215.67247543383257,2549.4201805751077,70.17048926818802,90.07624017230359,748.3223439553734,22.17255197673159,150,-3.0000005375461756,-6.4054949457648185
26,995.6800000000001,16.049869848306308,2547.7168790837645,215.65461720384863,2549.4201805751077,70.17044327959316,90.07127992696347,748.2427614244185,22.172801880019335,150,-3.000000563305373,-6.404809271416461
27,995.69,16.050753718194567,2547.7167867472745,215.63676683007125,2549.4201805751077,70.1703972909983,90.066321084857,748.1631832786646,22.17305176953776,150,-3.0000005890642556,-6.404123682085125
28,995.7,16.05163743535343,2547.716694396139,215.61892430803255,2549.4201805751077,70.17035130240343,90.061363645385,748.0836095168706,22.17330164529076,150,-3.0000006148228224,-6.403438177758247
29,995.71,16.05252099982316,2547.716602030369,215.60108963384684,2549.4201805751077,70.17030531380857,90.05640760794857,748.0040401377955,22.173551507282234,150,-3.0000006405810744,-6.402752758423253
30,995.72,16.053404411644006,2547.716509649975,215.5832628030806,2549.4201805751077,70.1702593252137,90.0514529719492,747.9244751401993,22.173801355516066,150,-3.0000006663390097,-6.402067424067557
31,995.73,16.054287670856215,2547.716417254967,215.56544381154387,2549.4201805751077,70.17021333661884,90.04649973678865,747.8449145228421,22.174051189996156,150,-3.000000692096628,-6.401382174678591
32,995.7400000000001,16.05517077750002,2547.716324845356,215.54763265491894,2549.4201805751077,70.17016734802398,90.04154790186901,747.7653582844849,22.174301010726392,150,-3.0000007178539287,-6.400697010243773
33,995.7500000000001,16.056053731615645,2547.716232421152,215.5298293290902,2549.4201805751077,70.17012135942912,90.03659746659265,747.6858064238891,22.174550817710664,150,-3.0000007436109115,-6.400011930750515
34,995.7600000000001,16.0569365332433,2547.716139982366,215.51203382976846,2549.4201805751077,70.17007537083427,90.03164843036238,747.6062589398163,22.174800610952854,150,-3.000000769367576,-6.399326936186248
35,995.7700000000001,16.05781918242318,2547.7160475290075,215.49424615268313,2549.4201805751077,70.17002938223939,90.02670079258118,747.526715831029,22.175050390456853,150,-3.000000795123921,-6.398642026538375
36,995.7800000000001,16.058701679195483,2547.7159550610872,215.47646629368913,2549.4201805751077,70.16998339364453,90.02175455265244,747.4471770962904,22.17530015622654,150,-3.000000820879946,-6.397957201794315
37,995.7900000000001,16.059584023600387,2547.7158625786165,215.45869424841462,2549.4201805751077,70.16993740504967,90.01680970997985,747.3676427343636,22.1755499082658,150,-3.000000846635651,-6.397272461941475
38,995.8000000000001,16.060466215678062,2547.7157700816038,215.44093001276948,2549.4201805751077,70.16989141645482,90.01186626396742,747.2881127440128,22.17579964657851,150,-3.000000872391035,-6.39658780696727
39,995.8100000000001,16.061348255468673,2547.715677570061,215.42317358259763,2549.4201805751077,70.16984542785994,90.00692421401948,747.2085871240025,22.176049371168553,150,-3.0000008981460975,-6.395903236859102
40,995.82,16.06223014301236,2547.715585043998,215.405424953564,2549.4201805751077,70.16979943926508,90.00198355954068,747.1290658730978,22.1762990820398,150,-3.0000009239008376,-6.395218751604377
41,995.83,16.06311187834926,2547.7154925034247,215.3876841213632,2549.4201805751077,70.16975345067021,89.99704429993595,747.0495489900643,22.176548779196125,150,-3.0000009496552558,-6.394534351190503
42,995.84,16.06399346151951,2547.715399948352,215.36995108190865,2549.4201805751077,70.16970746207537,89.99210643461059,746.9700364736681,22.17679846264141,150,-3.0000009754093506,-6.3938500356048795
43,995.85,16.06487489256322,2547.7153073787913,215.35222583102384,2549.4201805751077,70.16966147348049,89.9871699629702,746.8905283226757,22.177048132379518,150,-3.0000010011631217,-6.3931658048349025
44,995.8600000000001,16.065756171520498,2547.7152147947513,215.33450836451834,2549.4201805751077,70.16961548488563,89.9822348844207,746.8110245358542,22.177297788414325,150,-3.000001026916568,-6.392481658867963
45,995.8700000000001,16.06663729843144,2547.715122196242,215.31679867813597,2549.4201805751077,70.16956949629076,89.97730119836834,746.7315251119716,22.177547430749698,150,-3.00000105266969,-6.3917975976914745
46,995.8800000000001,16.067518273336134,2547.7150295832753,215.29909676761844,2549.4201805751077,70.16952350769591,89.97236890421965,746.6520300497959,22.1777970593895,150,-3.0000010784224864,-6.391113621292818
47,995.8900000000001,16.06839909627465,2547.7149369558606,215.28140262881726,2549.4201805751077,70.16947751910104,89.9674380013815,746.5725393480958,22.178046674337605,150,-3.0000011041749564,-6.3904297296594
48,995.9000000000001,16.06927976728706,2547.7148443140086,215.2637162576071,2549.4201805751077,70.16943153050617,89.96250848926107,746.4930530056407,22.178296275597866,150,-3.0000011299271,-6.389745922778591
49,995.9100000000001,16.07016028641341,2547.7147516577297,215.2460376496797,2549.4201805751077,70.16938554191131,89.95758036726588,746.4135710212003,22.178545863174154,150,-3.000001155678917,-6.389062200637792
50,995.9200000000001,16.07104065369375,2547.714658987033,215.22836680094997,2549.4201805751077,70.16933955331646,89.95265363480372,746.3340933935449,22.178795437070324,150,-3.000001181430406,-6.388378563224391
51,995.9300000000001,16.07192086916811,2547.714566301931,215.21070370723365,2549.4201805751077,70.16929356472158,89.94772829128276,746.2546201214454,22.179044997290237,150,-3.0000012071815667,-6.38769501052576
52,995.94,16.072800932876515,2547.7144736024325,215.19304836423063,2549.4201805751077,70.16924757612672,89.94280433611142,746.1751512036731,22.17929454383775,150,-3.000001232932398,-6.387011542529286
53,995.95,16.07368084485897,2547.7143808885476,215.1754007678416,2549.4201805751077,70.16920158753186,89.93788176869849,746.0956866389998,22.179544076716716,150,-3.0000012586829006,-6.386328159222363
54,995.96,16.074560605155487,2547.714288160287,215.1577609138828,2549.4201805751077,70.16915559893701,89.93296058845304,746.016226426198,22.179793595930988,150,-3.0000012844330723,-6.385644860592355
55,995.97,16.07544021380605,2547.714195417661,215.14012879816838,2549.4201805751077,70.16910961034213,89.92804079478447,745.9367705640407,22.180043101484422,150,-3.0000013101829146,-6.384961646626648
56,995.98,16.076319670850644,2547.7141026606805,215.1225044165686,2549.4201805751077,70.16906362174727,89.9231223871025,745.8573190513013,22.180292593380866,150,-3.000001335932425,-6.384278517312609
57,995.9900000000001,16.077198976329235,2547.714009889354,215.10488776487952,2549.4201805751077,70.16901763315241,89.91820536481717,745.7778718867536,22.18054207162417,150,-3.0000013616816044,-6.383595472637622
58,996.0000000000001,16.078078130281778,2547.7139171036943,215.08727883889023,2549.4201805751077,70.16897164455756,89.91328972733879,745.6984290691723,22.18079153621818,150,-3.000001387430451,-6.3829125125890505
59,996.0100000000001,16.078957132748233,2547.7138243037098,215.06967763438155,2549.4201805751077,70.16892565596268,89.90837547407804,745.6189905973324,22.181040987166742,150,-3.000001413178965,-6.382229637154268
60,996.0200000000001,16.07983598376854,2547.7137314894107,215.0520841474936,2549.4201805751077,70.16887966736782,89.90346260444588,745.5395564700093,22.181290424473705,150,-3.0000014389271454,-6.381546846320639
61,996.0300000000001,16.080714683382617,2547.713638660809,215.03449837376553,2549.4201805751077,70.16883367877296,89.89855111785361,745.4601266859792,22.1815398481429,150,-3.000001464674992,-6.380864140075535
62,996.0400000000001,16.081593231630382,2547.7135458179123,215.01692030910093,2549.4201805751077,70.1687876901781,89.89364101371282,745.3807012440185,22.181789258178174,150,-3.000001490422504,-6.380181518406321
63,996.0500000000001,16.08247162855175,2547.713452960733,214.99934994938084,2549.4201805751077,70.16874170158324,89.88873229143543,745.3012801429045,22.18203865458337,150,-3.000001516169681,-6.379498981300349
64,996.0600000000001,16.083349874186617,2547.7133600892807,214.98178729044534,2549.4201805751077,70.16869571298837,89.88382495043368,745.2218633814148,22.182288037362312,150,-3.0000015419165225,-6.378816528744989
65,996.07,16.084227968574865,2547.7132672035655,214.96423232824142,2549.4201805751077,70.1686497243935,89.87891899012008,745.1424509583273,22.18253740651885,150,-3.0000015676630274,-6.378134160727598
