,Time [s],Thrust [lb],Lift [lb],Drag [lb],Weight [lb],Percent [%],Velocity [knots],Altitude [ft],Range [nmi],RPM [rev/min],AOA [deg]
0,42.11,720.8273517070394,2546.520941674445,176.51335030401,2548.690981873568,99.6102393055146,75.8451806699597,750.3946533749782,0.7432065519114448,2700.0,0.6853913478338032
1,42.12,720.8273517070394,2540.0684087701375,181.43464937207614,2548.690981873568,99.6102393055146,75.8855172877822,750.3946533749782,0.7434172329688613,2700.0,0.6626639878737666
2,42.13,720.3404252130154,2540.34728913835,181.07728863505943,2548.690981873568,99.61014810886067,75.92581825770215,750.3946533749782,0.7436280820955188,2699.9,0.6541365671781532
3,42.14,719.8529216701749,2540.4729270113758,181.0243269657542,2548.690981873568,99.6100569153705,75.9662631342919,750.3946533749782,0.7438387070885959,2699.8,0.6450919870551908
4,42.15,719.3638653769887,2540.5923150606823,180.98405281919617,2548.690981873568,99.60996572504263,76.00667454437307,750.3946533749782,0.7440494443851624,2699.7000000000003,0.6360058248046189
5,42.16,718.8749419361911,2540.7118122307375,180.94295365504811,2548.690981873568,99.60987453787699,76.0470528919337,750.3946533749782,0.7442602932237041,2699.6000000000004,0.6269421704788947
6,42.17,718.3866031054939,2540.830865994214,180.90212367993078,2548.690981873568,99.60978335387352,76.08739771284723,750.3946533749782,0.7444712544560741,2699.5000000000005,0.6178989259292201
7,42.18,717.899098970234,2540.9494997533616,180.86151102070613,2548.690981873568,99.60969217303219,76.12770897698834,750.3946533749782,0.744682327987744,2699.4000000000005,0.6088762206622129
8,42.19,717.4124278596994,2541.0677138327555,180.82111743220335,2548.690981873568,99.60960099535293,76.16798669254442,750.3946533749782,0.7448935137280204,2699.3000000000006,0.5998740014271862
9,42.2,716.9265877475488,2541.185509829286,180.78094230400714,2548.690981873568,99.60950982083571,76.20823090424352,750.3946533749782,0.7451048115838598,2699.2000000000007,0.5908922106788994
10,42.21,716.4415762705747,2541.3028893974615,180.74098507290054,2548.690981873568,99.60941864948049,76.24844165681174,750.3946533749782,0.74531622146208,2699.100000000001,0.5819307827964373
11,42.22,715.9573910739331,2541.4198542854274,180.7012449744012,2548.690981873568,99.60932748128718,76.28861899496184,750.3946533749782,0.7455277432694282,2699.000000000001,0.5729896527615544
12,42.23,715.4740298111711,2541.536406228101,180.66172125648072,2548.690981873568,99.60923631625576,76.32876296329732,750.3946533749782,0.7457393769127763,2698.900000000001,0.5640687557860988
13,42.24,714.9914901450992,2541.6525469518765,180.62241316927015,2548.690981873568,99.60914515438618,76.36887360631283,750.3946533749782,0.7459511222991198,2698.800000000001,0.5551680273494486
14,42.25,714.5097697477464,2541.7682781743993,180.58331996626643,2548.690981873568,99.60905399567838,76.40895096839422,750.3946533749782,0.7461629793355787,2698.700000000001,0.5462874031961916
15,42.26,714.0288663003162,2541.883601604628,180.5444409038268,2548.690981873568,99.60896284013234,76.448995093819,750.3946533749782,0.7463749479293974,2698.6000000000013,0.5374268193349327
16,42.269999999999996,713.5487774931412,2541.998518942888,180.50577524129753,2548.690981873568,99.60887168774799,76.48900602675664,750.3946533749782,0.7465870279879437,2698.5000000000014,0.5285862120369598
17,42.28,713.0695010256275,2542.1130318809205,180.4673222410601,2548.690981873568,99.60878053852527,76.52898381126907,750.3946533749782,0.7467992194187089,2698.4000000000015,0.5197655178349407
18,42.29,712.5910346062299,2542.227142101934,180.42908116837253,2548.690981873568,99.60868939246413,76.56892849131091,750.3946533749782,0.7470115221293075,2698.3000000000015,0.5109646735216451
19,42.3,712.1133759523833,2542.340851280658,180.391051291532,2548.690981873568,99.60859824956455,76.60884011072999,750.3946533749782,0.7472239360274769,2698.2000000000016,0.5021836161486423
20,42.31,711.63652279048,2542.4541610833894,180.35323188181533,2548.690981873568,99.60850710982646,76.64871871326754,750.3946533749782,0.7474364610210769,2698.1000000000017,0.4934222830250232
21,42.32,711.1604728558087,2542.5670731680443,180.31562221325447,2548.690981873568,99.60841597324982,76.68856434255878,750.3946533749782,0.7476490970180897,2698.000000000002,0.48468061171613147
22,42.33,710.6852238925135,2542.6795891842075,180.27822156303148,2548.690981873568,99.60832483983457,76.72837704213308,750.3946533749782,0.7478618439266191,2697.900000000002,0.47595854004229343
23,42.339999999999996,710.2107736535604,2542.791710773183,180.24102921109153,2548.690981873568,99.60823370958065,76.7681568554145,750.3946533749782,0.748074701654891,2697.800000000002,0.4672560060775615
24,42.35,709.7371199006765,2542.9034395680396,180.20404444039045,2548.690981873568,99.60814258248806,76.80790382572202,750.3946533749782,0.7482876701112526,2697.700000000002,0.4585729481484577
25,42.36,709.2642604043241,2543.014777193665,180.16726653653402,2548.690981873568,99.60805145855673,76.84761799627,750.3946533749782,0.7485007492041718,2697.600000000002,0.449909304832746
26,42.37,708.792192943645,2543.1257252668083,180.13069478823184,2548.690981873568,99.60796033778658,76.88729941016848,750.3946533749782,0.7487139388422377,2697.5000000000023,0.4412650149581685
27,42.38,708.3209153064215,2543.2362853961336,180.0943284869574,2548.690981873568,99.6078692201776,76.92694811042357,750.3946533749782,0.7489272389341595,2697.4000000000024,0.4326400176012424
28,42.39,707.8504252890334,2543.3464591822612,180.0581669270895,2548.690981873568,99.60777810572972,76.96656413993779,750.3946533749782,0.7491406493887669,2697.3000000000025,0.4240342520860167
29,42.4,707.3807206964193,2543.4562482178226,180.02220940567437,2548.690981873568,99.60768699444289,77.00614754151046,750.3946533749782,0.7493541701150092,2697.2000000000025,0.41544765798286765
30,42.41,706.9117993420282,2543.5656540875,179.98645522276607,2548.690981873568,99.60759588631709,77.04569835783799,750.3946533749782,0.7495678010219555,2697.1000000000026,0.4068801751072853
31,42.42,706.4436590477834,2543.6746783680796,179.95090368113583,2548.690981873568,99.60750478135225,77.08521663151436,750.3946533749782,0.7497815420187943,2697.0000000000027,0.3983317435186771
32,42.43,705.9762976440345,2543.783322628494,179.91555408643023,2548.690981873568,99.60741367954829,77.12470240503133,750.3946533749782,0.7499953930148329,2696.900000000003,0.3898023035191551
33,42.44,705.5097129695226,2543.8915884298676,179.88040574689182,2548.690981873568,99.6073225809052,77.16415572077884,750.3946533749782,0.7502093539194975,2696.800000000003,0.3812917956523729
34,42.45,705.0439028713336,2543.9994773255676,179.8454579735787,2548.690981873568,99.60723148542291,77.20357662104541,750.3946533749782,0.7504234246423327,2696.700000000003,0.37280016070232364
35,42.46,704.5788652048634,2544.106990861243,179.8107100805351,2548.690981873568,99.60714039310142,77.24296514801843,750.3946533749782,0.7506376050930014,2696.600000000003,0.36432733969217557
36,42.47,704.1145978337692,2544.214130574874,179.77616138421993,2548.690981873568,99.60704930394061,77.28232134378452,750.3946533749782,0.750851895181284,2696.500000000003,0.3558732738830947
37,42.48,703.651098629936,2544.3208979968163,179.7418112040156,2548.690981873568,99.6069582179405,77.3216452503299,750.3946533749782,0.7510662948170792,2696.4000000000033,0.3474379047730878
38,42.49,703.1883654734336,2544.427294649844,179.70765886194692,2548.690981873568,99.60686713510101,77.3609369095407,750.3946533749782,0.7512808039104022,2696.3000000000034,0.3390211740958553
39,42.5,702.7263962524762,2544.5333220491952,179.67370368283045,2548.690981873568,99.60677605542209,77.4001963632033,750.3946533749782,0.7514954223713858,2696.2000000000035,0.3306230238196237
40,42.51,702.2651888633835,2544.638981702616,179.6399449940114,2548.690981873568,99.60668497890369,77.43942365300475,750.3946533749782,0.7517101501102795,2696.1000000000035,0.3222433961460199
41,42.519999999999996,701.8047412105418,2544.744275110404,179.6063821254947,2548.690981873568,99.60659390554574,77.47861882053296,750.3946533749782,0.7519249870374493,2696.0000000000036,0.3138822335089259
42,42.53,701.3450512063625,2544.8492037654514,179.57301441031652,2548.690981873568,99.60650283534824,77.51778190727715,750.3946533749782,0.7521399330633771,2695.9000000000037,0.30553947857335473
