,Time [s],Thrust [lb],Lift [lb],Drag [lb],Weight [lb],Percent [%],Velocity [knots],Altitude [ft],Range [nmi],RPM [rev/min],Ground Roll [ft],AOA [deg]
0,329.95000000000005,0.035593982905226085,2384.1419869883425,167.92770789183655,2544.15337167319,97.97125390990028,68.6609109766473,0.0,7.520149210860132,1,1891,0.0
1,329.95500000000004,0.035593982905226085,3462.5695780754445,167.92770789183655,2544.15337167319,97.97125390990028,68.65462115180556,0.0,7.520244573236488,1,1891,0.0
2,329.96000000000004,0.035610512302494096,3461.9352154290564,167.89785737550744,2544.1533716732974,97.9712539099377,68.64833300534956,0.0,7.520339922509042,1,1891,0.0
3,329.96500000000003,0.03562704968895486,3461.3010801483997,167.86801740386332,2544.1533716734057,97.9712539099751,68.64204262088143,0.0,7.520435289254305,1,1891,0.0
4,329.97,0.035643605366116646,3460.6667772876294,167.83816939231926,2544.1533716735134,97.9712539100125,68.63575335582475,0.0,7.520530647260267,1,1891,0.0
5,329.975,0.03566017050087824,3460.032645414432,167.8083292725015,2544.1533716736208,97.97125391004992,68.6294652088974,0.0,7.520625996536189,1,1891,0.0
6,329.98,0.035676745089997484,3459.398684368523,167.77849703712508,2544.153371673729,97.97125391008734,68.62317818094877,0.0,7.520721337074688,1,1891,0.0
7,329.98500000000007,0.035693329124619005,3458.764894204542,167.74867268876557,2544.1533716738363,97.97125391012474,68.6168922716833,0.0,7.520816668877321,1,1891,0.0
8,329.99000000000007,0.03570992259890583,3458.131274861695,167.71885622467812,2544.1533716739445,97.97125391016216,68.61060748080607,0.0,7.520911991945638,1,1891,0.0
9,329.99500000000006,0.035726525507022794,3457.497826279271,167.6890476420377,2544.153371674052,97.97125391019956,68.60432380802193,0.0,7.521007306281196,1,1891,0.0
10,330.00000000000006,0.035743137843138616,3456.8645483965465,167.65924693817578,2544.15337167416,97.97125391023698,68.59804125303577,0.0,7.5211026118855475,1,1891,0.0
11,330.00500000000005,0.035759759601425016,3456.231441152827,167.62945411028664,2544.1533716742674,97.97125391027438,68.59175981555268,0.0,7.521197908760246,1,1891,0.0
12,330.01000000000005,0.03577639077605791,3455.5985044874456,167.59966915560736,2544.1533716743756,97.9712539103118,68.58547949527777,0.0,7.521293196906845,1,1891,0.0
13,330.01500000000004,0.03579303136121521,3454.9657383397607,167.56989207138085,2544.1533716744834,97.9712539103492,68.57920029191627,0.0,7.521388476326896,1,1891,0.0
14,330.02000000000004,0.03580968135107911,3454.3331426491577,167.54012285482995,2544.1533716745907,97.97125391038662,68.57292220517353,0.0,7.521483747021953,1,1891,0.0
15,330.02500000000003,0.03582634073983432,3453.700717355048,167.51036150327647,2544.153371674699,97.97125391042402,68.566645234755,0.0,7.521579008993568,1,1891,0.0
16,330.03000000000003,0.03584300952166921,3453.068462396871,167.48060801384113,2544.1533716748063,97.97125391046144,68.56036938036624,0.0,7.52167426224329,1,1891,0.0
17,330.035,0.03585968769077489,3452.4363777140925,167.45086238393114,2544.1533716749145,97.97125391049886,68.55409464171288,0.0,7.521769506772673,1,1891,0.0
18,330.04,0.03587637524134633,3451.804463246205,167.42112461063476,2544.153371675022,97.97125391053626,68.54782101850071,0.0,7.521864742583265,1,1891,0.0
19,330.0450000000001,0.03589307216758111,3451.1727189327285,167.3913946912819,2544.15337167513,97.97125391057368,68.54154851043555,0.0,7.521959969676618,1,1891,0.0
20,330.05000000000007,0.03590977846368029,3450.5411447132055,167.36167262308666,2544.1533716752374,97.97125391061108,68.53527711722337,0.0,7.522055188054281,1,1891,0.0
21,330.05500000000006,0.035926494123848254,3449.909740527212,167.3319584033289,2544.1533716753456,97.9712539106485,68.52900683857024,0.0,7.522150397717805,1,1891,0.0
22,330.06000000000006,0.03594321914229245,3449.2785063143438,167.30225202928295,2544.1533716754534,97.9712539106859,68.52273767418234,0.0,7.522245598668738,1,1891,0.0
23,330.06500000000005,0.03595995351322344,3448.647442014229,167.2725534981103,2544.1533716755607,97.9712539107233,68.51646962376593,0.0,7.522340790908628,1,1891,0.0
