,Time [s],Thrust [lb],Lift [lb],Drag [lb],Power [hp],Weight [lb],Percent [%],Velocity [knots],Altitude [ft],Range [nmi],RPM [rev/min],Pitch [deg],AOA [deg]
1891,624.3850000000001,41.265617436496505,2550.1638229714167,195.11599618397176,8160.506741842738,2549.43192672129,80.33698810516371,86.41639009109876,603.017800585665,14.285893179318935,370,-3.0000517588788718,-5.877613503293324
1892,624.3950000000001,41.26635498786719,2550.163733223074,195.11153788152842,8160.506741842738,2549.43192672129,80.33690557343708,86.41484593785586,602.9414601818587,14.286132906574945,370,-3.0000517821876067,-5.87738293574934
1893,624.4050000000001,41.26709237940201,2550.1636434880384,195.10708102513726,8160.506741842738,2549.43192672129,80.33682304171045,86.41330217440495,602.8651211426879,14.286372629544807,370,-3.0000518054921623,-5.877152417938169
1894,624.4150000000002,41.267829611139916,2550.16355376631,195.10262561429357,8160.506741842738,2549.43192672129,80.33674050998381,86.41175880062568,602.7887834678081,14.286612348229609,370,-3.0000518287925395,-5.876921949849381
1895,624.4250000000002,41.26856668311986,2550.1634640578895,195.09817164838904,8160.506741842738,2549.43192672129,80.3366579782572,86.41021581639772,602.712447156875,14.286852062630425,370,-3.0000518520887383,-5.876691531472509
1896,624.4350000000002,41.26930359538076,2550.163374362777,195.09371912695863,8160.506741842738,2549.43192672129,80.33657544653056,86.40867322160081,602.6361122095441,14.287091772748342,370,-3.000051875380759,-5.876461162797121
1897,624.4450000000002,41.27004034796155,2550.1632846809734,195.08926804932736,8160.506741842738,2549.43192672129,80.33649291480393,86.40713101611473,602.559778625471,14.28733147858444,370,-3.0000518986686027,-5.876230843812773
1898,624.4550000000002,41.27077694090112,2550.163195012479,195.0848184150839,8160.506741842738,2549.43192672129,80.3364103830773,86.40558919981926,602.4834464043118,14.287571180139798,370,-3.0000519219522697,-5.876000574509036
1899,624.4650000000001,41.27151337423841,2550.1631053572933,195.08037022342947,8160.506741842738,2549.43192672129,80.33632785135066,86.4040477725943,602.4071155457225,14.287810877415499,370,-3.0000519452317596,-5.875770354875461
1900,624.4750000000001,41.27224964801227,2550.1630157154173,195.07592347400265,8160.506741842738,2549.43192672129,80.33624531962403,86.4025067343197,602.330786049359,14.288050570412624,370,-3.0000519685070746,-5.87554018490162
