,Time [s],Thrust [lb],Lift [lb],Drag [lb],Power [hp],Weight [lb],Percent [%],Velocity [knots],Altitude [ft],Range [nmi],RPM [rev/min],AOA [deg]
0,721.7149999999999,707.7448210449714,2532.5872387911727,165.44032955951076,121751.95664332426,2534.0327947950404,94.52020963923312,75.15919861061327,750.2968331284177,16.36655355064749,2700.0,0.7998640013931602
1,721.7249999999999,707.7448210449714,2524.152813725507,174.57636745782258,121751.95664332426,2534.0327947950404,94.52020963923312,75.19929918777686,750.2968331284177,16.366762326199186,2700.0,0.7696112626841889
2,721.7349999999999,707.1730156870085,2524.5176147526336,174.03564138871,121716.09426928307,2534.0327947950404,94.52011840228268,75.23936807529948,750.2968331284177,16.366971268836622,2699.9,0.761265040542642
3,721.7449999999999,706.6000376351051,2524.6449736945624,173.97371735285103,121679.99375100837,2534.0327947950404,94.52002716827155,75.27959423843593,750.2968331284177,16.367179988656392,2699.8,0.752089228483019
4,721.7549999999999,706.0255885307213,2524.7659256115144,173.92495100063604,121643.89859838785,2534.0327947950404,94.51993593719659,75.31978105887913,750.2968331284177,16.36738882012938,2699.7000000000003,0.7428671958792217
5,721.7649999999999,705.4514515506968,2524.886995814054,173.87524116279397,121607.8088170278,2534.0327947950404,94.51984470905764,75.35992887380574,750.2968331284177,16.36759776245883,2699.6000000000004,0.7336695472426104
6,721.7749999999999,704.8776245596167,2525.007577509745,173.82581754850412,121571.72441253082,2534.0327947950404,94.5197534838545,75.40003717748661,750.2968331284177,16.36780681658265,2699.5000000000005,0.7244939611066491
7,721.785,704.3041130730762,2525.1276989480116,173.77662305044367,121535.64539049649,2534.0327947950404,94.51966226158706,75.44010597566574,750.2968331284177,16.36801598239012,2699.4000000000005,0.7153405904925023
8,721.795,703.7309179630447,2525.247360174948,173.72765998718185,121499.57175652075,2534.0327947950404,94.51957104225511,75.48013527178996,750.2968331284177,16.368225259774178,2699.3000000000006,0.7062093652110826
9,721.805,703.1580401196891,2525.3665628520207,173.67892738967487,121463.50351619655,2534.0327947950404,94.51947982585848,75.52012507077455,750.2968331284177,16.368434648625062,2699.2000000000007,0.6971002216536029
10,721.8149999999999,702.5854804171552,2525.48530856212,173.63042444629352,121427.44067511313,2534.0327947950404,94.51938861239701,75.5600753776694,750.2968331284177,16.368644148833038,2699.100000000001,0.6880130958428317
11,721.8249999999999,702.0132397256859,2525.603598887147,173.5821503396191,121391.38323885681,2534.0327947950404,94.51929740187055,75.59998619766888,750.2968331284177,16.368853760288363,2699.000000000001,0.6789479240277849
12,721.8349999999999,701.4413189115314,2525.7214354036223,173.53410425530242,121355.33121301017,2534.0327947950404,94.5192061942789,75.63985753610768,750.2968331284177,16.36906348288132,2698.900000000001,0.6699046426648464
13,721.8449999999999,700.8697188369867,2525.8388196829032,173.48628538159295,121319.28460315283,2534.0327947950404,94.51911498962188,75.67968939846034,750.2968331284177,16.3692733165022,2698.800000000001,0.6608831884185995
14,721.8549999999999,700.2984403603951,2525.9557532911854,173.43869290972395,121283.24341486076,2534.0327947950404,94.51902378789936,75.7194817903406,750.2968331284177,16.36948326104131,2698.700000000001,0.6518834981610611
15,721.8649999999999,699.7274843361582,2526.0722377895236,173.3913260332795,121247.20765370688,2534.0327947950404,94.51893258911116,75.75923471750079,750.2968331284177,16.369693316388975,2698.6000000000013,0.6429055089710141
16,721.8749999999999,699.1568516147385,2526.1882747338423,173.34418394882098,121211.17732526052,2534.0327947950404,94.5188413932571,75.79894818583124,750.2968331284177,16.36990348243553,2698.5000000000014,0.6339491581332721
17,721.8849999999999,698.586543042666,2526.303865674953,173.29726585533425,121175.15243508796,2534.0327947950404,94.51875020033704,75.83862220135975,750.2968331284177,16.37011375907132,2698.4000000000015,0.625014383138013
18,721.8949999999999,698.0165594625458,2526.4190121585702,173.25057095474327,121139.13298875188,2534.0327947950404,94.51865901035076,75.87825677025091,750.2968331284177,16.370324146186725,2698.3000000000015,0.6161011216800558
19,721.905,697.4469017130624,2526.533715725325,173.20409845151121,121103.11899181183,2534.0327947950404,94.51856782329814,75.91785189880557,750.2968331284177,16.370534643672116,2698.2000000000016,0.6072093116581878
