,Time [s],Thrust [lb],Lift [lb],Drag [lb],Power [hp],Weight [lb],Percent [%],Velocity [knots],Altitude [ft],Range [nmi],RPM [rev/min],AOA [deg]
0,63.985,511.9427713215117,2546.550099573342,171.50674632373347,88221.69450640798,2549.431900782318,95.71648048491149,75.29559733224946,750.3004262876904,1.1537426805845417,4000.0,0.8168844664139229
1,63.995,511.9427713215117,2542.1332143286227,175.61832601525833,88221.69450640798,2549.431900782318,95.71648048491149,75.32073938699266,750.3004262876904,1.1539518350215758,4000.0,0.8010992518426635
2,64.005,511.7639993922878,2542.2722406364533,175.34847563719882,88219.48896404532,2549.431900782318,95.71581102808331,75.34587693468073,750.3004262876904,1.1541610942171712,3999.9,0.7955315371825842
3,64.015,511.58519878445213,2542.3290009531474,175.30952691094595,88217.28342168264,2549.431900782318,95.71514159122222,75.37108553405714,750.3004262876904,1.1543702137294682,3999.8,0.7896767024310147
4,64.025,511.4058702673114,2542.3838035532035,175.27625625586617,88215.07787932,2549.431900782318,95.71447217432579,75.39628325277094,750.3004262876904,1.1545794031745185,3999.7000000000003,0.7838035782313545
5,64.035,511.2265549113685,2542.4386731758386,175.24258640250042,88212.87233695734,2549.431900782318,95.71380277739159,75.42147027283254,750.3004262876904,1.1547886622525778,3999.6000000000004,0.7779391331234944
6,64.045,511.04725160336324,2542.49342853276,175.20902786713447,88210.66679459468,2549.431900782318,95.71313340041723,75.44664640543132,750.3004262876904,1.154997991369847,3999.5000000000005,0.7720826617508494
7,64.05499999999999,510.8679616812329,2542.5480758141953,175.17556272951185,88208.46125223202,2549.431900782318,95.71246404340029,75.47181164451356,750.3004262876904,1.1552073904954199,3999.4000000000005,0.766234216991085
8,64.065,510.6886852753119,2542.6026148032815,175.14219194522596,88206.25570986937,2549.431900782318,95.71179470633834,75.4969659831624,750.3004262876904,1.155416859600052,3999.3000000000006,0.7603937849256918
9,64.075,510.50942252165413,2542.6570457003645,175.10891529236997,88204.0501675067,2549.431900782318,95.711125389229,75.52210941489312,750.3004262876904,1.1556263986535076,3999.2000000000007,0.7545613533564949
10,64.085,510.3301735534688,2542.7113686911857,175.07573259156194,88201.84462514405,2549.431900782318,95.7104560920698,75.54724193324469,750.3004262876904,1.1558360076255372,3999.100000000001,0.7487369099558263
