,Time [s],Thrust [lb],Lift [lb],Drag [lb],Weight [lb],Percent [%],Velocity [knots],Altitude [ft],Range [nmi],RPM [rev/min],Pitch [deg],AOA [deg]
0,10.78,802.7137411426683,3067.3517414407333,55.36691083356335,2549.7112541128467,99.9010771141401,66.04247304476122,0.0,0.10060878801126703,2700,0.0,5.0
1,10.79,802.7137411426683,3067.3517414407333,55.36691083356335,2549.7112541128467,99.9010771141401,66.09811905632702,0.0,0.10079223932528027,2700,0.009528242914225934,5.0
2,10.799999999999999,802.2895192573274,3072.522892392397,55.452408309303586,2549.710989829469,99.90098534893986,66.15366054348436,0.0,0.10097592249386673,2700,0.019169234758681444,5.0
3,10.809999999999999,801.8655286813009,3077.688647902312,55.53780781590832,2549.710725478202,99.9008935837396,66.20934125044207,0.00027828773441412804,0.10115929639987535,2700,0.02865982261999821,5.0
4,10.819999999999999,801.4399067423989,3082.871740447874,55.623476622468054,2549.7104612172016,99.90080181854013,66.26495274531271,0.00018657056124773633,0.10134282530558232,2700,0.03822581383074688,5.0
5,10.83,801.0142468548453,3088.0527264780703,55.7091021257938,2549.710196911768,99.90071005334039,66.32049377345487,0.0002769883178554705,0.1015265080532338,2700,0.04786659151693829,5.0
6,10.84,800.5885607788631,3093.231471816339,55.79468684719931,2549.7099325596973,99.9006182881409,66.3759652532233,0.0005585816210161115,0.10171034555402875,2700,0.057582546419759024,5.0
7,10.85,800.1628436000761,3098.40804620136,55.88024534991864,2549.7096681626144,99.90052652294217,66.43136693049375,0.0010246972999386494,0.1018943376148009,2700,0.06737353157032201,5.0
8,10.86,799.7370993991054,3103.582409362843,55.965799654071496,2549.7094037200836,99.90043475774469,66.48669855971164,0.001677130461741292,0.10207848403187879,2700,0.07723939530504981,5.0
9,10.87,799.3113321981583,3108.7545217750258,56.0513812906481,2549.7091392316747,99.90034299254896,66.54195989053396,0.002517644841203561,0.10226278460700096,2700,0.08717998904873246,5.0
10,10.879999999999999,798.8855460636668,3113.924343405357,56.13703165133496,2549.708874696955,99.90025122735547,66.5971506720967,0.003548024488587096,0.10244723914103697,2700,0.09719516424217524,5.0
11,10.889999999999999,798.4597450735107,3119.0918341144393,56.222802366139156,2549.70861011549,99.90015946216477,66.65227065234735,0.00477005377520648,0.10263184743404917,2700,0.10728477237198948,5.0
12,10.899999999999999,798.0339333221715,3124.256953593487,56.30875567941909,2549.708345486848,99.90006769697733,66.70731957730777,0.0061855171153489775,0.10281660928526676,2700,0.11744866495773436,5.0
13,10.91,797.6081149264601,3129.4196612949986,56.394964831257504,2549.7080808105925,99.89997593179372,66.7622971903235,0.0077961990596147526,0.10300152449308418,2700,0.12768669355090806,5.0
14,10.92,797.1822940314065,3134.579916361738,56.48151444314975,2549.7078160862898,99.8998841666144,66.81720323128512,0.009603884272421252,0.10318659285505788,2700,0.13799870973312187,5.0
15,10.93,796.7564748163992,3139.737677552806,56.56850090857282,2549.7075513135064,99.89979240143995,66.87203743582194,0.011610357510905124,0.10337181416790094,2700,0.14838456511329445,5.0
16,10.94,796.3306615015902,3144.8929031667244,56.656032787524865,2549.70728649181,99.89970063627088,66.9267995344672,0.013817403603289986,0.10355718822747574,2700,0.15884411132386667,5.0
17,10.95,795.9048583545737,3150.045550961478,56.74423120495302,2549.7070216207658,99.89960887110773,66.98148925179501,0.01622680742716442,0.10374271482878453,2700,0.16937720001600426,5.0
18,10.959999999999999,795.4790696973254,3155.195578071534,56.83323025238041,2549.7067566999385,99.89951710595105,67.03610630552822,0.018840353887642183,0.10392839376595762,2700,0.17998368285375832,5.0
19,10.969999999999999,795.053299913429,3160.3429409216906,56.92317739260315,2549.7064917288963,99.8994253408014,67.09065040561714,0.021659827895369244,0.10411422483223963,2700,0.19066341150714625,5.0
20,10.979999999999999,794.6275534555742,3165.4875951378185,57.014233866456024,2549.7062267072047,99.89933357565931,67.14512125328899,0.024687014344341802,0.104300207819973,2700,0.20141623764412397,5.0
21,10.99,794.201834853343,3170.6294954543996,57.10657510106402,2549.7059616344286,99.89924181052534,67.19951854006767,0.02792369808949761,0.10448634252057934,2700,0.21224201292141348,5.0
22,11.0,793.7761487212798,3175.7685956188598,57.20039111903607,2549.705696510137,99.89915004540005,67.25384194676376,0.03137166392404135,0.10467262872453824,2700,0.2231405889741518,5.0
23,11.01,793.3504997672561,3180.9048482926164,57.295886947479325,2549.705431333895,99.89905828028402,67.30809114243469,0.035032696556462864,0.1048590662213633,2700,0.23411181740432813,5.0
24,11.02,792.9248928011203,3186.03820494889,57.39328302599876,2549.7051661052665,99.89896651517785,67.36226578331497,0.03890858058720534,0.10504565479957576,2700,0.24515554976797507,5.0
25,11.03,792.4993327436517,3191.1686157672084,57.492815612565856,2549.7049008238214,99.89887475008206,67.4163655117164,0.04300110048493862,0.1052323942466751,2700,0.25627163756107757,5.0
26,11.04,792.0738246358042,3196.296029524595,57.594737185969045,2549.7046354891245,99.89878298499725,67.47038995489851,0.047312040562391015,0.10541928434910701,2700,0.2674599322041679,5.0
27,11.049999999999999,791.6483736482484,3201.420393483456,57.69931684404309,2549.704370100742,99.898691219924,67.52433872390914,0.05184318495169095,0.10560632489222829,2700,0.27872028502556984,5.0
28,11.059999999999999,791.2229850912192,3206.5416532761365,57.80684069538715,2549.7041046582412,99.89859945486292,67.57821141239567,0.05659631757916811,0.10579351566026886,2700,0.29005254724325874,5.0
29,11.069999999999999,790.7976644246531,3211.659752786201,57.91761224382018,2549.703839161187,99.89850768981461,67.63200759538702,0.0615732221395615,0.10598085643629061,2700,0.3014565699453035,5.0
30,11.08,790.3724172686253,3216.7746340263943,58.03195276345552,2549.7035736091484,99.89841592477966,67.68572682804675,0.06677568206958011,0.10616834700214309,2700,0.31293220406885564,5.0
31,11.09,789.9472494140879,3221.88623701336,58.15020166275875,2549.7033080016913,99.89832415975867,67.73936864439813,0.0722054805207598,0.1063559871384159,2700,0.3244793003776522,5.0
32,11.1,789.5221668338947,3226.9944996391487,58.27271683541311,2549.7030423383817,99.89823239475226,67.79293255602154,0.07786440033155803,0.10654377662438791,2700,0.33609770943800005,5.0
33,11.11,789.0971756941185,3232.099357539521,58.39987499594411,2549.7027766187875,99.89814062976102,67.84641805072515,0.08375422399862628,0.1067317152379728,2700,0.3477872815932076,5.0
34,11.12,788.6722823656528,3237.20074395919,58.532071998029316,2549.702510842476,99.8980488647856,67.89982459118964,0.08987673364719746,0.10691980275566139,2700,0.35954786693643365,5.0
35,11.129999999999999,788.2474934360905,3242.298589614003,58.66972313251718,2549.702245009013,99.89795709982661,67.95315161358829,0.09623371100052452,0.10710803895246014,2700,0.37137931528192114,5.0
36,11.139999999999999,787.8228157218771,3247.3928225502127,58.813263403145235,2549.701979117967,99.8978653348847,68.00639852618343,0.10282693734830371,0.10729642360182623,2700,0.3832814761345871,5.0
37,11.149999999999999,787.3982562807228,3252.483368000902,58.96314777671413,2549.701713168905,99.89777356996046,68.05956470790095,0.10965819351401435,0.10748495647559873,2700,0.3952541986579386,5.0
38,11.16,786.9738224242697,3257.5701482397426,59.11985140493801,2549.7014471613943,99.89768180505456,68.11264950688411,0.11672925982110513,0.10767363734392608,2700,0.4072973316402899,5.0
39,11.17,786.5495217309953,3262.6530824321785,59.28386981499124,2549.7011810950034,99.89759004016766,68.16565223902896,0.12404191605795505,0.10786246597518975,2700,0.41941072345925173,5.0
40,11.18,786.1253620593478,3267.73208648425,59.45571906513479,2549.7009149693,99.89749827530038,68.21857218650294,0.13159794144153505,0.10805144213592381,2700,0.43159422204447245,5.0
41,11.19,785.701351561088,3272.8070728892267,59.63593586222546,2549.7006487838507,99.89740651045338,68.27140859624917,0.1393991145796951,0.10824056559073077,2700,0.4438476748386062,5.0
42,11.2,785.2774986948265,3277.8779505722473,59.82507763737912,2549.7003825382253,99.89731474562731,68.32416067847896,0.1474472134319992,0.10842983610219313,2700,0.4561709287564905,5.0
43,11.209999999999999,784.8538122397307,3282.9446247332426,60.023722576115674,2549.7001162319916,99.89722298082285,68.37682760515496,0.1557440152690303,0.10861925343078106,2700,0.46856383014251635,5.0
44,11.219999999999999,784.4303013093913,3288.0069966883725,60.232469599024135,2549.699849864718,99.89713121604066,68.42940850846848,0.16429129663008377,0.10880881733475581,2700,0.48102622472617446,5.0
45,11.229999999999999,784.0069753658106,3293.064963710264,60.45193828862927,2549.699583435973,99.8970394512814,68.48190247931386,0.17309083327916877,0.108998527570069,2700,0.4935579575757694,5.0
46,11.24,783.5838442334866,3298.1184188674088,60.68276875897366,2549.6993169453276,99.89694768654577,68.53430856576342,0.1821444001592343,0.10918838389025785,2700,0.5061588730502931,5.0
47,11.25,783.1609181135794,3303.1672508630186,60.925621462536625,2549.699050392348,99.89685592183444,68.5866257715474,0.19145377134453576,0.10937838604633592,2700,0.5188288147494516,5.0
48,11.26,782.7382075981069,3308.211343873756,61.18117693157213,2549.698783776605,99.8967641571481,68.63885305454227,0.20102071999105728,0.1095685337866799,2700,0.53156762546185,5.0
49,11.27,782.3157236841541,3313.2505773887237,61.45013544774987,2549.6985170976695,99.89667239248745,68.69098932527261,0.21084701828490435,0.10975882685691209,2700,0.5443751471113343,5.0
50,11.28,781.8934777880348,3318.284826049191,61.73321663688462,2549.6982503551085,99.89658062785315,68.74303344543094,0.22093443738858004,0.10994926499977849,2700,0.5572512207015049,5.0
51,11.29,781.4714817593918,3323.3139594894924,62.031158983733114,2549.697983548495,99.89648886324593,68.79498422642078,0.2312847473850587,0.11013984795502305,2700,0.5701956862584123,5.0
52,11.299999999999999,781.0497478951805,3328.337842179637,62.344719262328596,2549.6977166773986,99.8963970986665,68.84684042792848,0.2418997172195701,0.11033057545925741,2700,0.5832083827714569,5.0
53,11.309999999999999,780.628288953468,3333.356333270202,62.67467187731695,2549.6974497413894,99.89630533411557,68.89860075652946,0.25278111463900804,0.11052144724582667,2700,0.5962891481325185,5.0
54,11.32,780.2071181670406,3338.369286440016,63.02180811216893,2549.69718274004,99.89621356959383,68.95026386433507,0.26393070612887654,0.11071246304467115,2700,0.609437819073347,5.0
55,11.33,779.7862492567328,3343.376549747361,63.38693527972307,2549.6969156729197,99.89612180510203,69.00182834768671,0.2753502568476891,0.11090362258218397,2700,0.6226542311012537,5.0
