,Time [s],Thrust [lb],Lift [lb],Drag [lb],Weight [lb],Percent [%],Velocity [knots],Altitude [ft],Range [nmi],RPM [rev/min]
0,42.775,696.3491002659007,2566.2885226630847,181.04258461648809,2548.691520295197,99.61044128708264,78.51192275364556,750.5730851973453,0.7578486847322445,2700.0
1,42.785,696.3491002659007,2567.172875927473,181.11526540984894,2548.691520295197,99.61044128708264,78.55043788045066,750.5730851973453,0.7580667734065603,2700.0
2,42.795,696.008330313024,2567.136436172264,181.07687822857008,2548.691520295197,99.61035151962142,78.5889187748639,750.5730851973453,0.758285022560571,2699.9
3,42.805,695.6674418072668,2567.2082520668196,181.0475985169475,2548.691520295197,99.61026175548491,78.62744435472045,750.5730851973453,0.7585030577020341,2699.8
4,42.815,695.3264322072152,2567.277241844738,181.01822388130796,2548.691520295197,99.61017199467315,78.66594654756986,750.5730851973453,0.7587211999688457,2699.7000000000003
5,42.824999999999996,694.9859036841999,2567.3461556999837,180.98904191795467,2548.691520295197,99.61008223718608,78.70442533935896,750.5730851973453,0.75893944898618,2699.6000000000004
6,42.835,694.6458554041245,2567.41484622756,180.96003996677456,2548.691520295197,99.60999248302375,78.74288067573762,750.5730851973453,0.7591578050514797,2699.5000000000005
7,42.845,694.3062868694857,2567.483318719217,180.93121792910347,2548.691520295197,99.60990273218613,78.78131257893939,750.5730851973453,0.7593762680997537,2699.4000000000005
8,42.855,693.9671969118269,2567.5515738044833,180.90257525713608,2548.691520295197,99.60981298467323,78.81972107114046,750.5730851973453,0.759594838066163,2699.3000000000006
9,42.865,693.6285843706878,2567.6196122724987,180.8741114179751,2548.691520295197,99.60972324048505,78.8581061745587,750.5730851973453,0.7598135148855228,2699.2000000000007
10,42.875,693.2904480924245,2567.687434903942,180.84582588026427,2548.691520295197,99.6096334996216,78.8964679113677,750.5730851973453,0.7600322984927104,2699.100000000001
11,42.885,692.9527869173533,2567.755042475997,180.8177181141471,2548.691520295197,99.60954376208285,78.93480630369693,750.5730851973453,0.7602511888226642,2699.000000000001
12,42.894999999999996,692.6155996975358,2567.8224357626837,180.7897875918281,2548.691520295197,99.60945402786886,78.97312137363343,750.5730851973453,0.7604701858103844,2698.900000000001
13,42.905,692.278885285863,2567.889615534566,180.7620337870085,2548.691520295197,99.60936429697959,79.01141314321976,750.5730851973453,0.760689289390933,2698.800000000001
14,42.915,691.9426425397602,2567.956582558886,180.73445617518965,2548.691520295197,99.60927456941504,79.04968163445545,750.5730851973453,0.7609084994994338,2698.700000000001
15,42.925,691.6068703192658,2568.0233375995176,180.70705423369992,2548.691520295197,99.60918484517519,79.08792686929672,750.5730851973453,0.7611278160710715,2698.6000000000013
16,42.934999999999995,691.2715674903864,2568.089881417086,180.67982744156205,2548.691520295197,99.60909512426008,79.12614886965683,750.5730851973453,0.7613472390410921,2698.5000000000014
17,42.945,690.9367329207996,2568.156214768856,180.6527752795527,2548.691520295197,99.60900540666968,79.16434765740576,750.5730851973453,0.7615667683448032,2698.4000000000015
18,42.955,690.6023654830067,2568.222338408847,180.62589723004703,2548.691520295197,99.60891569240401,79.20252325437092,750.5730851973453,0.7617864039175732,2698.3000000000015
19,42.964999999999996,690.2684640527119,2568.2882530877973,180.5991927772863,2548.691520295197,99.60882598146306,79.24067568233681,750.5730851973453,0.7620061456948314,2698.2000000000016
