Xfoil polar. Reynolds number fixed. Mach  number fixed,,,,,,
Polar key,xf-naca652415-il-500000,,,,,
Airfoil,naca652415-il,,,,,
Reynolds number,500000,,,,,
Ncrit,9,,,,,
Mach,0,,,,,
Max Cl/Cd,100.406,,,,,
Max Cl/Cd alpha,5.25,,,,,
Url,http://airfoiltools.com/polar/csv?polar=xf-naca652415-il-500000,,,,,
,,,,,,
Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-12.25,-0.6031,0.06174,0.05897,-0.0821,1,0.0226
-12,-0.6267,0.05714,0.05427,-0.0831,1,0.0224
-11.75,-0.6514,0.05339,0.05044,-0.0825,1,0.0223
-11.5,-0.6705,0.04968,0.04661,-0.0827,0.9967,0.0221
-11.25,-0.68,0.04386,0.04046,-0.087,0.9837,0.0219
-11,-0.6844,0.03813,0.03425,-0.0902,0.9718,0.022
-10.75,-0.6777,0.03388,0.02951,-0.0917,0.9601,0.0224
-10.5,-0.6654,0.03158,0.02679,-0.0918,0.9478,0.0228
-10.25,-0.6573,0.02834,0.02318,-0.0909,0.9356,0.0234
-10,-0.6387,0.02695,0.0217,-0.0905,0.926,0.0241
-9.75,-0.6212,0.02592,0.02058,-0.0895,0.9156,0.0245
-9.5,-0.6027,0.02487,0.01939,-0.0886,0.9071,0.0251
-9.25,-0.5845,0.02367,0.018,-0.0876,0.8981,0.0256
-9,-0.5646,0.02252,0.01666,-0.0867,0.8904,0.0263
-8.75,-0.5442,0.02162,0.01559,-0.0858,0.8821,0.0271
-8.5,-0.5229,0.02101,0.01479,-0.0849,0.8749,0.0277
-8.25,-0.5007,0.01985,0.01346,-0.0843,0.8675,0.0283
-8,-0.4765,0.01833,0.01187,-0.084,0.8618,0.0291
-7.75,-0.4538,0.01755,0.01108,-0.0835,0.8548,0.0298
-7.5,-0.4309,0.01696,0.01043,-0.0829,0.8482,0.0306
-7.25,-0.4077,0.01645,0.00987,-0.0824,0.8418,0.0317
-7,-0.3847,0.01592,0.00927,-0.0818,0.8351,0.0327
-6.75,-0.3613,0.0154,0.00866,-0.0812,0.8297,0.0335
-6.5,-0.3379,0.01497,0.00818,-0.0806,0.8234,0.0341
-6.25,-0.3185,0.01407,0.00722,-0.0796,0.8173,0.0352
-6,-0.2967,0.01351,0.00662,-0.0789,0.8119,0.0365
-5.75,-0.2733,0.01312,0.00622,-0.0784,0.8057,0.0381
-5.5,-0.249,0.01277,0.00581,-0.078,0.8004,0.04
-5.25,-0.2242,0.01247,0.00544,-0.0777,0.7955,0.0413
-5,-0.2012,0.01193,0.00487,-0.0773,0.79,0.044
