,Time [s],Thrust [lb],Lift [lb],Drag [lb],Power [hp],Weight [lb],Percent [%],Velocity [knots],Altitude [ft],Range [nmi],RPM [rev/min],Pitch [deg],AOA [deg]
0,912.57,15.897500118146146,2534.1302384909654,285.26868512969645,3281.79920867724,2537.0655493087897,94.43519811584457,90.21074540056715,750.3886007681709,20.65887873415326,588,-3.0,-6.457193371603158
1,912.58,15.897500118146146,2535.3764358137346,215.92454900807527,3281.79920867724,2537.0655493087897,94.43519811584457,90.20567893395837,750.3886007681709,20.659128976138565,588,-2.9999999591273205,-6.454090634801764
2,912.59,15.898536174827873,2535.375697517666,215.9216229013572,3281.82876069382,2537.0655493087897,94.4351495779003,90.20061366620273,750.3089147815904,20.659379197042536,588,-2.9999999453863224,-6.453398154854741
3,912.6,15.899572124769811,2535.3756224649082,215.9032318913983,3281.858310273212,2537.0655493087897,94.43510104049042,90.19554401407203,750.2292355096905,20.659629446056336,588,-2.999999971335709,-6.452704074005799
4,912.61,15.900608980334749,2535.3755475425837,215.884819396001,3281.8878632261126,2537.0655493087897,94.43505250361484,90.19047582565803,750.1495472841418,20.659879681007794,588,-2.999999997282109,-6.452009264454612
5,912.62,15.901645686601537,2535.375472377396,215.8664203793903,3281.917414570841,2537.0655493087897,94.43500396727362,90.18540909680993,750.0698635378525,20.660129901921206,588,-3.000000023263401,-6.451314543288138
6,912.63,15.902682244240259,2535.3753971945566,215.84802956125375,3281.9469643102493,2537.0655493087897,94.43495543146669,90.18034383170847,749.9901842631145,20.660380108769505,588,-3.0000000492446044,-6.450619909441462
7,912.6400000000001,15.903718652426353,2535.3753219937707,215.8296469657827,3281.9765124418814,2537.0655493087897,94.434906896194,90.17528002972139,749.9105094665186,20.660630301556772,588,-3.000000075225743,-6.449925363575378
8,912.6500000000001,15.904754911197942,2535.3752467752347,215.81127258430382,3282.0060589662066,2537.0655493087897,94.43485836145548,90.17021769022293,749.8308391467682,20.66088048028704,588,-3.0000001012067887,-6.449230905676954
9,912.6600000000001,15.90579102059208,2535.37517153896,215.79290641216838,3282.035603883694,2537.0655493087897,94.4348098272511,90.16515681258375,749.751173302576,20.661130644964377,588,-3.0000001271877403,-6.448536535734581
